ElectoralWard2007Code,ElectoralWard2007Name,NRSoldElectoralWard2007Code,CouncilArea2011Code
S13002665,Land Caithness Ward,1804,S12000017
S13002666,East Sutherland and Edderton ,1805,S12000017
S13002667,Wester Ross, Strathpeffer and Lochalsh ,1806,S12000017
S13002668,Cromarty Firth ,1807,S12000017
S13002669,Tain and Easter Ross ,1808,S12000017
S13002670,Dingwall and Seaforth ,1809,S12000017
S13002671,Black Isle ,1810,S12000017
S13002672,Eilean a' Chèo,1811,S12000017
S13002673,Caol and Mallaig ,1812,S12000017
S13002674,Aird and Loch Ness ,1813,S12000017
S13002675,Inverness West ,1814,S12000017
S13002676,Inverness Central ,1815,S12000017
S13002677,Inverness Ness-Side ,1816,S12000017
S13002678,Inverness Millburn ,1817,S12000017
S13002679,Culloden and Ardersier ,1818,S12000017
S13002680,Nairn ,1819,S12000017
S13002681,Inverness South ,1820,S12000017
S13002682,Badenoch and Strathspey ,1821,S12000017
S13002683,Fort William and Ardnamurchan ,1822,S12000017
S13002684,Inverclyde East ,1901,S12000018
S13002685,Inverclyde East Central ,1902,S12000018
S13002686,Inverclyde North ,1903,S12000018
S13002687,Inverclyde South ,1904,S12000018
S13002688,Inverclyde West ,1905,S12000018
S13002689,Inverclyde South West ,1906,S12000018
S13002690,Penicuik ,2001,S12000019
S13002691,Bonnyrigg ,2002,S12000019
S13002692,Dalkeith ,2003,S12000019
S13002693,Midlothian West ,2004,S12000019
S13002694,Midlothian East ,2005,S12000019
S13002695,Midlothian South ,2006,S12000019
S13002696,Speyside Glenlivet ,2101,S12000020
S13002697,Keith and Cullen ,2102,S12000020
S13002698,Buckie ,2103,S12000020
S13002699,Fochabers Lhanbryde ,2104,S12000020
S13002700,Heldon and Laich ,2105,S12000020
S13002701,Elgin City North ,2106,S12000020
S13002702,Elgin City South ,2107,S12000020
S13002703,Forres ,2108,S12000020
S13002704,Irvine West ,2201,S12000021
S13002705,Irvine East ,2202,S12000021
S13002706,Kilwinning ,2203,S12000021
S13002707,Saltcoats and Stevenston ,2204,S12000021
S13002708,Ardrossan and Arran ,2205,S12000021
S13002709,Dalry and West Kilbride ,2206,S12000021
S13002710,Kilbirnie and Beith ,2207,S12000021
S13002711,North Coast and Cumbraes ,2208,S12000021
S13002712,Kilsyth ,2301,S12000044
S13002713,Cumbernauld North ,2302,S12000044
S13002714,Cumbernauld South ,2303,S12000044
S13002715,Abronhill, Kildrum and the Village ,2304,S12000044
S13002717,Coatbridge North and Glenboig ,2306,S12000044
S13002718,Airdrie North ,2307,S12000044
S13002719,Airdrie Central ,2308,S12000044
S13002720,Coatbridge West ,2309,S12000044
S13002721,Coatbridge South ,2310,S12000044
S13002722,Airdrie South ,2311,S12000044
S13002723,Fortissat ,2312,S12000044
S13002724,Thorniewood ,2313,S12000044
S13002725,Bellshill ,2314,S12000044
S13002726,Mossend and Holytown ,2315,S12000044
S13002727,Motherwell West ,2316,S12000044
S13002728,Motherwell North ,2317,S12000044
S13002729,Motherwell South East and Ravenscraig ,2318,S12000044
S13002730,Murdostoun ,2319,S12000044
S13002731,Wishaw ,2320,S12000044
S13002732,Kirkwall East ,2401,S12000023
S13002733,Kirkwall West and Orphir ,2402,S12000023
S13002734,Stromness and South Isles ,2403,S12000023
S13002735,West Mainland ,2404,S12000023
S13002736,East Mainland, South Ronaldsay and Burray ,2405,S12000023
S13002737,North Isles ,2406,S12000023
S13002738,Carse of Gowrie ,2501,S12000024
S13002739,Strathmore ,2502,S12000024
S13002740,Blairgowrie and Glens ,2503,S12000024
S13002741,Highland ,2504,S12000024
S13002742,Strathtay ,2505,S12000024
S13002743,Strathearn ,2506,S12000024
S13002744,Strathallan ,2507,S12000024
S13002745,Kinross-shire ,2508,S12000024
S13002746,Almond and Earn ,2509,S12000024
S13002747,Perth City South ,2510,S12000024
S13002748,Perth City North ,2511,S12000024
S13002749,Perth City Centre ,2512,S12000024
S13002750,Renfrew North ,2601,S12000038
S13002751,Renfrew South & Gallowhill ,2602,S12000038
S13002752,Paisley East & Ralston ,2603,S12000038
S13002753,Paisley North West ,2604,S12000038
S13002754,Paisley South ,2605,S12000038
S13002755,Paisley South West ,2606,S12000038
S13002756,Johnstone South, Elderslie & Howwood ,2607,S12000038
S13002757,Johnstone North, Kilbarchan & Lochwinnoch ,2608,S12000038
S13002758,Houston, Crosslee & Linwood ,2609,S12000038
S13002759,Bishopton, Bridge of Weir & Langbank ,2610,S12000038
S13002760,Erskine & Inchinnan ,2611,S12000038
S13002761,Tweeddale West ,0501,S12000026
S13002762,Tweeddale East ,0502,S12000026
S13002763,Galashiels and District ,0503,S12000026
S13002764,Selkirkshire ,0504,S12000026
S13002765,Leaderdale and Melrose ,0505,S12000026
S13002766,Mid Berwickshire ,0506,S12000026
S13002767,East Berwickshire ,0507,S12000026
S13002768,Kelso and District ,0508,S12000026
S13002769,Jedburgh and District ,0509,S12000026
S13002770,Hawick and Denholm ,0510,S12000026
S13002771,Hawick and Hermitage ,0511,S12000026
S13002772,North Isles ,2701,S12000027
S13002773,Shetland North ,2702,S12000027
S13002774,Shetland West ,2703,S12000027
S13002775,Shetland Central ,2704,S12000027
S13002776,Shetland South ,2705,S12000027
S13002777,Lerwick North ,2706,S12000027
S13002778,Lerwick South ,2707,S12000027
S13002779,Troon ,2801,S12000028
S13002780,Prestwick ,2802,S12000028
S13002781,Ayr North ,2803,S12000028
S13002782,Ayr East ,2804,S12000028
S13002783,Ayr West ,2805,S12000028
S13002784,Kyle ,2806,S12000028
S13002785,Maybole, North Carrick and Coylton ,2807,S12000028
S13002786,Girvan and South Carrick ,2808,S12000028
S13002787,Clydesdale West ,2901,S12000029
S13002788,Clydesdale North ,2902,S12000029
S13002789,Clydesdale East ,2903,S12000029
S13002790,Clydesdale South ,2904,S12000029
S13002791,Avondale and Stonehouse ,2905,S12000029
S13002792,East Kilbride South ,2906,S12000029
S13002793,East Kilbride Central South ,2907,S12000029
S13002794,East Kilbride Central North ,2908,S12000029
S13002795,East Kilbride West ,2909,S12000029
S13002796,East Kilbride East ,2910,S12000029
S13002797,Rutherglen South ,2911,S12000029
S13002798,Rutherglen Central and North ,2912,S12000029
S13002799,Cambuslang West ,2913,S12000029
S13002800,Cambuslang East ,2914,S12000029
S13002801,Blantyre ,2915,S12000029
S13002802,Bothwell and Uddingston ,2916,S12000029
S13002803,Hamilton North and East ,2917,S12000029
S13002804,Hamilton West and Earnock ,2918,S12000029
S13002805,Hamilton South ,2919,S12000029
S13002806,Larkhall ,2920,S12000029
S13002807,Trossachs and Teith ,3001,S12000030
S13002808,Forth and Endrick ,3002,S12000030
S13002809,Dunblane and Bridge of Allan ,3003,S12000030
S13002810,Castle ,3004,S12000030
S13002811,Stirling West ,3005,S12000030
S13002812,Stirling East ,3006,S12000030
S13002813,Bannockburn ,3007,S12000030
S13002814,Lomond ,0701,S12000039
S13002815,Leven ,0702,S12000039
S13002816,Dumbarton ,0703,S12000039
S13002817,Kilpatrick ,0704,S12000039
S13002818,Clydebank Central ,0705,S12000039
S13002819,Clydebank Waterfront ,0706,S12000039
S13002820,Linlithgow ,3101,S12000040
S13002821,Broxburn, Uphall and Winchburgh ,3102,S12000040
S13002822,Livingston North ,3103,S12000040
S13002823,Livingston South ,3104,S12000040
S13002824,East Livingston and East Calder ,3105,S12000040
S13002825,Fauldhouse and the Breich Valley ,3106,S12000040
S13002826,Whitburn and Blackburn ,3107,S12000040
S13002827,Bathgate ,3108,S12000040
S13002828,Armadale and Blackridge ,3109,S12000040
S13002829,Monifieth and Sidlaw ,0304,S12000041
S13002830,North East ,0906,S12000042
S13002832,Strathkelvin ,2305,S12000044
S13002833,Bishopbriggs South ,1106,S12000045
S13002834,North East ,1721,S12000046
