ElectoralWard2007Code,ElectoralWard2007Name,NRSoldElectoralWard2007Code,CouncilArea2011Code
S13002476,Dyce / Bucksburn / Danestone,0101,S12000033
S13002477,Bridge of Don,0102,S12000033
S13002478,Kingswells / Sheddocksley,0103,S12000033
S13002479,Northfield,0104,S12000033
S13002480,Hilton / Stockethill,0105,S12000033
S13002481,Tillydrone / Seaton / Old Aberdeen,0106,S12000033
S13002482,Midstocket / Rosemount ,0107,S12000033
S13002483,George St / Harbour ,0108,S12000033
S13002484,Lower Deeside ,0109,S12000033
S13002485,Hazlehead / Ashley / Queens Cross ,0110,S12000033
S13002486,Airyhall / Broomhill / Garthdee ,0111,S12000033
S13002487,Torry / Ferryhill ,0112,S12000033
S13002488,Kincorth / Loirston ,0113,S12000033
S13002489,Banff and District ,0201,S12000034
S13002490,Troup ,0202,S12000034
S13002491,Fraserburgh and District ,0203,S12000034
S13002492,Central Buchan ,0204,S12000034
S13002493,Peterhead North and Rattray ,0205,S12000034
S13002494,Peterhead South and Cruden ,0206,S12000034
S13002495,Turriff and District ,0207,S12000034
S13002496,Mid Formartine ,0208,S12000034
S13002497,Ellon and District ,0209,S12000034
S13002498,West Garioch ,0210,S12000034
S13002499,Inverurie and District ,0211,S12000034
S13002500,East Garioch ,0212,S12000034
S13002501,Westhill and District ,0213,S12000034
S13002502,Huntly, Strathbogie and Howe of Alford ,0214,S12000034
S13002503,Aboyne, Upper Deeside and Donside ,0215,S12000034
S13002504,Banchory and Mid Deeside ,0216,S12000034
S13002505,North Kincardine ,0217,S12000034
S13002506,Stonehaven and Lower Deeside ,0218,S12000034
S13002507,Mearns ,0219,S12000034
S13002508,Kirriemuir and Dean ,0301,S12000041
S13002509,Brechin and Edzell ,0302,S12000041
S13002510,Forfar and District ,0303,S12000041
S13002512,Carnoustie and District ,0305,S12000041
S13002513,Arbroath West and Letham ,0306,S12000041
S13002514,Arbroath East and Lunan ,0307,S12000041
S13002515,Montrose and District ,0308,S12000041
S13002516,South Kintyre ,0401,S12000035
S13002517,Kintyre and the Islands ,0402,S12000035
S13002518,Mid Argyll ,0403,S12000035
S13002519,Oban South and the Isles ,0404,S12000035
S13002520,Oban North and Lorn ,0405,S12000035
S13002521,Cowal ,0406,S12000035
S13002522,Dunoon ,0407,S12000035
S13002523,Isle of Bute ,0408,S12000035
S13002524,Lomond North ,0409,S12000035
S13002525,Helensburgh Central ,0410,S12000035
S13002526,Helensburgh and Lomond South ,0411,S12000035
S13002527,Clackmannanshire West ,0601,S12000005
S13002528,Clackmannanshire North ,0602,S12000005
S13002529,Clackmannanshire Central ,0603,S12000005
S13002530,Clackmannanshire South ,0604,S12000005
S13002531,Clackmannanshire East ,0605,S12000005
S13002532,Stranraer and North Rhins ,0801,S12000006
S13002533,Wigtown West ,0802,S12000006
S13002534,Mid Galloway ,0803,S12000006
S13002535,Dee ,0804,S12000006
S13002536,Castle Douglas and Glenkens ,0805,S12000006
S13002537,Abbey ,0806,S12000006
S13002538,North West Dumfries ,0807,S12000006
S13002539,Mid and Upper Nithsdale ,0808,S12000006
S13002540,Lochar ,0809,S12000006
S13002541,Nith ,0810,S12000006
S13002542,Annandale South ,0811,S12000006
S13002543,Annandale North ,0812,S12000006
S13002544,Annandale East and Eskdale ,0813,S12000006
S13002545,Strathmartine ,0901,S12000042
S13002546,Lochee ,0902,S12000042
S13002547,West End ,0903,S12000042
S13002548,Coldside ,0904,S12000042
S13002549,Maryfield ,0905,S12000042
S13002551,East End ,0907,S12000042
S13002552,The Ferry ,0908,S12000042
S13002553,Annick ,1001,S12000008
S13002554,Kilmarnock North ,1002,S12000008
S13002555,Kilmarnock West and Crosshouse ,1003,S12000008
S13002556,Kilmarnock East and Hurlford ,1004,S12000008
S13002557,Kilmarnock South ,1005,S12000008
S13002558,Irvine Valley ,1006,S12000008
S13002559,Ballochmyle ,1007,S12000008
S13002560,Cumnock and New Cumnock ,1008,S12000008
S13002561,Doon Valley ,1009,S12000008
S13002562,Milngavie ,1101,S12000045
S13002563,Bearsden North ,1102,S12000045
S13002564,Bearsden South ,1103,S12000045
S13002565,Campsie and Kirkintilloch North ,1104,S12000045
S13002566,Bishopbriggs North and Torrance ,1105,S12000045
S13002568,Lenzie and Kirkintilloch South ,1107,S12000045
S13002569,Kirkintilloch East and Twechar ,1108,S12000045
S13002570,Musselburgh West ,1201,S12000010
S13002571,Musselburgh East and Carberry ,1202,S12000010
S13002572,Preston / Seton / Gosford ,1203,S12000010
S13002573,Fa'side ,1204,S12000010
S13002574,North Berwick Coastal ,1205,S12000010
S13002575,Haddington and Lammermuir ,1206,S12000010
S13002576,Dunbar and East Linton ,1207,S12000010
S13002577,Neilston, Uplawmoor and Newton Mearns North ,1301,S12000011
S13002578,Barrhead ,1302,S12000011
S13002579,Giffnock and Thornliebank ,1303,S12000011
S13002580,Netherlee, Stamperland and Williamwood ,1304,S12000011
S13002581,Newton Mearns South ,1305,S12000011
S13002582,Busby, Clarkston and Eaglesham ,1306,S12000011
S13002583,Almond ,1401,S12000036
S13002584,Pentland Hills ,1402,S12000036
S13002585,Drum Brae / Gyle ,1403,S12000036
S13002586,Forth ,1404,S12000036
S13002587,Inverleith ,1405,S12000036
S13002588,Corstorphine / Murrayfield ,1406,S12000036
S13002589,Sighthill / Gorgie ,1407,S12000036
S13002590,Colinton / Fairmilehead ,1408,S12000036
S13002591,Fountainbridge / Craiglockhart ,1409,S12000036
S13002592,Meadows / Morningside ,1410,S12000036
S13002593,City Centre ,1411,S12000036
S13002594,Leith Walk ,1412,S12000036
S13002595,Leith ,1413,S12000036
S13002596,Craigentinny / Duddingston ,1414,S12000036
S13002597,Southside / Newington ,1415,S12000036
S13002598,Liberton / Gilmerton ,1416,S12000036
S13002599,Portobello / Craigmillar ,1417,S12000036
S13002600,Barraigh, Bhatarsaigh, Eirisgeigh agus Uibhist a Deas ,3201,S12000013
S13002601,Beinn na Foghla agus Uibhist a Tuath ,3202,S12000013
S13002602,Na Hearadh agus Ceann a Deas nan Loch ,3203,S12000013
S13002603,Sgir'Uige agus Ceann a Tuath nan Loch ,3204,S12000013
S13002604,Sgire an Rubha ,3205,S12000013
S13002605,Steòrnabhagh a Deas,3206,S12000013
S13002606,Steòrnabhagh a Tuath,3207,S12000013
S13002607,Loch a Tuath ,3208,S12000013
S13002608,An Taobh Siar agus Nis ,3209,S12000013
S13002609,Bo'ness and Blackness ,1501,S12000014
S13002610,Grangemouth ,1502,S12000014
S13002611,Denny and Banknock ,1503,S12000014
S13002612,Carse, Kinnaird and Tryst ,1504,S12000014
S13002613,Bonnybridge and Larbert ,1505,S12000014
S13002614,Falkirk North ,1506,S12000014
S13002615,Falkirk South ,1507,S12000014
S13002616,Lower Braes ,1508,S12000014
S13002617,Upper Braes ,1509,S12000014
S13002618,West Fife and Coastal Villages ,1601,S12000015
S13002619,Dunfermline North ,1602,S12000015
S13002620,Dunfermline Central ,1603,S12000015
S13002621,Dunfermline South ,1604,S12000015
S13002622,Rosyth ,1605,S12000015
S13002623,Inverkeithing and Dalgety Bay ,1606,S12000015
S13002624,The Lochs ,1607,S12000015
S13002625,Cowdenbeath ,1608,S12000015
S13002626,Lochgelly and Cardenden ,1609,S12000015
S13002627,Burntisland, Kinghorn and Western Kirkcaldy ,1610,S12000015
S13002628,Kirkcaldy North ,1611,S12000015
S13002629,Kirkcaldy Central ,1612,S12000015
S13002630,Kirkcaldy East ,1613,S12000015
S13002631,Glenrothes West and Kinglassie ,1614,S12000015
S13002632,Glenrothes North, Leslie and Markinch ,1615,S12000015
S13002633,Glenrothes Central and Thornton ,1616,S12000015
S13002634,Howe of Fife and Tay Coast ,1617,S12000015
S13002635,Tay Bridgehead ,1618,S12000015
S13002636,St. Andrews ,1619,S12000015
S13002637,East Neuk and Land Ward,1620,S12000015
S13002638,Cupar ,1621,S12000015
S13002639,Leven, Kennoway and Largo ,1622,S12000015
S13002640,Buckhaven, Methil and Wemyss Villages ,1623,S12000015
S13002641,Linn ,1701,S12000046
S13002642,Newlands / Auldburn ,1702,S12000046
S13002643,Greater Pollok ,1703,S12000046
S13002644,Craigton ,1704,S12000046
S13002645,Govan ,1705,S12000046
S13002646,Pollokshields ,1706,S12000046
S13002647,Langside ,1707,S12000046
S13002648,Southside Central ,1708,S12000046
S13002649,Calton ,1709,S12000046
S13002650,Anderston / City ,1710,S12000046
S13002651,Hillhead ,1711,S12000046
S13002652,Partick West ,1712,S12000046
S13002653,Garscadden / Scotstounhill ,1713,S12000046
S13002654,Drumchapel / Anniesland ,1714,S12000046
S13002655,Maryhill / Kelvin ,1715,S12000046
S13002656,Canal ,1716,S12000046
S13002657,Springburn ,1717,S12000046
S13002658,East Centre ,1718,S12000046
S13002659,Shettleston ,1719,S12000046
S13002660,Baillieston ,1720,S12000046
S13002662,North, West and Central Sutherland ,1801,S12000017
S13002663,Thurso ,1802,S12000017
S13002664,Wick ,1803,S12000017
