Locality2010Code,Locality2010Name,NRSoldLocality2010Code
S19000001,Campbeltown,001001
S19000002,Whiting Bay,002001
S19000003,Lamlash,003001
S19000004,Brodick,004002
S19000005,Springside,005001
S19000006,Ardrossan,006001
S19000007,Saltcoats,006002
S19000008,Stevenston,006003
S19000009,Kilwinning,007001
S19000010,Port Ellen,008001
S19000011,West Kilbride,009001
S19000012,Eaglesham,010001
S19000013,Overtown,011002
S19000014,Gowkthrapple,011003
S19000015,Kilbirnie,012001
S19000016,Fairlie,013001
S19000017,Millport,014001
S19000018,Uplawmoor,015001
S19000019,Neilston,016001
S19000020,Allanton,017001
S19000021,Cleland,018001
S19000022,Largs,019001
S19000023,Lochwinnoch,020001
S19000024,Shotts,021001
S19000025,Bowmore,022001
S19000026,Salsburgh,023001
S19000027,Rothesay,024001
S19000028,Bridge of Weir,025001
S19000029,Brookfield,026001
S19000030,Houston,027001
S19000031,Skelmorlie,028001
S19000032,Wemyss Bay,028003
S19000033,Port Bannatyne,029001
S19000034,Erskine,030001
S19000035,Inchinnan,030003
S19000036,Quarrier's Village,031001
S19000037,Glenmavis,032001
S19000038,Gartcosh,033001
S19000039,Glenboig,034001
S19000040,Caldercruix,035001
S19000041,Tarbert,036001
S19000042,Innellan,037001
S19000043,Kilmacolm,038001
S19000044,Greengairs and Wattson,039001
S19000045,Moodiesburn,040002
S19000046,Bishopton,041001
S19000047,Kirkintilloch,042001
S19000048,Lenzie,042002
S19000049,Auchinloch,042004
S19000050,Inverkip,043001
S19000051,Langbank,044001
S19000052,Greenock,045001
S19000053,Gourock,045002
S19000054,Port Glasgow,045003
S19000055,Torrance,046001
S19000056,Milton of Campsie,047001
S19000057,Twechar,048001
S19000058,Sandbank,049001
S19000059,Dunoon,049002
S19000060,Kilsyth,050001
S19000061,Lennoxtown,051001
S19000062,Cardross,052001
S19000063,Kilcreggan,053001
S19000064,Rhu,054001
S19000065,Helensburgh,054002
S19000066,Rosneath,055001
S19000067,Ardrishaig,056001
S19000068,Lochgilphead,058001
S19000069,Garelochhead,059002
S19000070,Inveraray,060001
S19000071,Oban,061001
S19000072,Dunbeg,062001
S19000073,Tobermory,063001
S19000074,Avonbridge,064001
S19000075,Slamannan,065001
S19000076,California,066001
S19000077,Shieldhill,067001
S19000078,Whitecross,068001
S19000079,Strathblane,069001
S19000080,Bo'ness,070001
S19000081,Limekilns,071001
S19000082,Killearn,072001
S19000083,High Valleyfield,073001
S19000084,Newmills,073002
S19000085,Torryburn,073003
S19000086,Crossford (Fife),074001
S19000087,Aberdour,075001
S19000088,Burntisland,076001
S19000089,Plean,077001
S19000090,Kinghorn,078001
S19000091,Kincardine,079001
S19000092,Cairneyhill,080001
S19000093,Airth,081001
S19000094,Balfron,082001
S19000095,Drymen,083001
S19000096,Cowie,084001
S19000097,Blairhall,085002
S19000098,Townhill,086001
S19000099,Oakley,087001
S19000100,Carnock,087002
S19000101,Comrie (Fife),087003
S19000102,Kirkcaldy and Dysart,088002
S19000103,Kingseat (Fife),089001
S19000104,Fallin,090001
S19000105,Saline,091001
S19000106,Alloa,092001
S19000107,Glenochil Village,092002
S19000108,Tullibody,092004
S19000109,Clackmannan,093001
S19000110,Gargunnock,094001
S19000111,Kippen,095001
S19000112,Kelty,096001
S19000113,Cardenden and Dundonald,097001
S19000114,Ballingry, Lochore and Crosshill,098001
S19000115,Coaltown of Wemyss,099001
S19000116,East Wemyss,100001
S19000117,Tillicoultry,101001
S19000118,Coalsnaughton,101002
S19000119,Markinch,102001
S19000120,Glenrothes,102002
S19000121,Thornton,102003
S19000122,Leslie,102004
S19000123,Coaltown of Balgonie,102005
S19000124,Menstrie,103001
S19000125,Alva,104001
S19000126,Buckhaven, Methil, Methilhill and Leven,105001
S19000127,Kennoway and Windygates,105002
S19000128,Kinglassie,106001
S19000129,Dollar,107001
S19000130,Elie and Earlsferry,108001
S19000131,Dunblane,109001
S19000132,Aberfoyle,110001
S19000133,Thornhill (Stirling),111001
S19000134,Doune,112001
S19000135,Kinross,113001
S19000136,St Monans,114001
S19000137,Kinnesswood,115001
S19000138,Anstruther,116001
S19000139,Pittenweem,116002
S19000140,Lower Largo and Lundin Links,117001
S19000141,Milnathort,118001
S19000142,Freuchie,119001
S19000143,Callander,120001
S19000144,Crail,121001
S19000145,Kingskettle,122001
S19000146,Falkland,123001
S19000147,Blackford,124001
S19000148,Braco,125001
S19000149,Glenfarg,126001
S19000150,Ladybank,127001
S19000151,Strathmiglo,128001
S19000152,Auchterarder,129001
S19000153,Gleneagles,129002
S19000154,Auchtermuchty,130001
S19000155,Springfield,131001
S19000156,Ceres,132001
S19000157,Dunning,133001
S19000158,Cupar,134001
S19000159,St Andrews,135001
S19000160,Muthill,136001
S19000161,Abernethy,137001
S19000162,Strathkinness,138001
S19000163,Bridge of Earn,139001
S19000164,Forgandenny,140001
S19000165,Newburgh and Burnside,141001
S19000166,Crieff,142001
S19000167,St Madoes and Glencarse,143001
S19000168,Comrie (Perth & Kinross),144001
S19000169,Errol,145001
S19000170,Methven,146001
S19000171,New Scone,147001
S19000172,Almondbank,148001
S19000173,Longforgan,149001
S19000174,Inchture,150001
S19000175,Luncarty,151001
S19000176,Killin,152001
S19000177,Stanley,153001
S19000178,Birkhill and Muirhead,154001
S19000179,Carnoustie,155001
S19000180,Bankfoot,156001
S19000181,Wellbank,157001
S19000182,Coupar Angus,158001
S19000183,Arbroath,159001
S19000184,Dunkeld and Birnam,160001
S19000185,Newtyle,161001
S19000186,Blairgowrie,162001
S19000187,Aberfeldy,163001
S19000188,Letham,164001
S19000189,Forfar,165001
S19000190,Friockheim,166001
S19000191,Pitlochry,167001
S19000192,Ferryden,168001
S19000193,Montrose,168002
S19000194,Brechin,169001
S19000195,Hillside,170001
S19000196,Edzell,171001
S19000197,Ballachulish,172001
S19000198,Kinlochleven,173001
S19000199,St Cyrus,174001
S19000200,Johnshaven,175001
S19000201,Laurencekirk,176001
S19000202,Gourdon,177001
S19000203,Banavie and Corpach,178001
S19000204,Caol,178002
S19000205,Fort William,178003
S19000206,Inverbervie,179001
S19000207,Stonehaven,180001
S19000208,Newtonhill,181001
S19000209,Ballater,182001
S19000210,Banchory,183001
S19000211,Mallaig,184001
S19000212,Portlethen,185001
S19000213,Newtonmore,186001
S19000214,Drumoak,187001
S19000215,Aboyne,188001
S19000216,Kingussie,189001
S19000217,Torphins,190001
S19000218,Peterculter,191001
S19000219,Milltimber,191002
S19000220,Tarland,192001
S19000221,Lumphanan,193001
S19000222,Westhill (Aberdeenshire),194001
S19000223,Kingswells,195001
S19000224,Fort Augustus,196001
S19000225,Aviemore,197001
S19000226,Blackburn (Aberdeenshire),198001
S19000227,Kintore,199001
S19000228,Kemnay,200001
S19000229,Alford,201001
S19000230,Potterton,202001
S19000231,Balmedie,203001
S19000232,Inverurie,204001
S19000233,Newmachar,205001
S19000234,Nethy Bridge,206001
S19000235,Broadford,207001
S19000236,Newburgh (Aberdeenshire),208001
S19000237,Grantown-on-Spey,209001
S19000238,Kyle of Lochalsh,210001
S19000239,Oldmeldrum,211001
S19000240,Pitmedden,212001
S19000241,Drumnadrochit,213001
S19000242,Insch,214001
S19000243,Ellon,215001
S19000244,Tarves,216001
S19000245,Rothienorman,217001
S19000246,Cruden Bay,218001
S19000247,Hatton of Cruden,219001
S19000248,Dufftown,220001
S19000249,Huntly,221001
S19000250,Boddam,222001
S19000251,Aberlour,223001
S19000252,Portree,224001
S19000253,Peterhead,225001
S19000254,Kirkhill,226001
S19000255,Beauly,227001
S19000256,Stuartfield,228001
S19000257,New Deer,229001
S19000258,North Kessock,230001
S19000259,Maud,231001
S19000260,Mintlaw,232001
S19000261,Longside,233001
S19000262,Rothes,234001
S19000263,Muir of Ord,235001
S19000264,Turriff,236001
S19000265,Keith,237001
S19000266,Aberchirder,238001
S19000267,Avoch,239001
S19000268,Conon Bridge and Maryburgh,240001
S19000269,Ardersier,241001
S19000270,Auldearn,242001
S19000271,Nairn,243001
S19000272,Strichen,244001
S19000273,New Pitsligo,245001
S19000274,Fortrose,246001
S19000275,Crimond,247001
S19000276,Forres,248001
S19000277,Strathpeffer,249001
S19000278,Rosemarkie,250001
S19000279,Dingwall,251001
S19000280,Mosstodloch,252001
S19000281,Kinloss,253001
S19000282,Elgin,254001
S19000283,Lhanbryde,255001
S19000284,St Combs,256001
S19000285,Findhorn,257001
S19000286,Garmouth,258001
S19000287,Portgordon,259001
S19000288,Buckie,260001
S19000289,Macduff,261001
S19000290,Gardenstown,262001
S19000291,Banff,263001
S19000292,Fraserburgh,264001
S19000293,Portsoy,265001
S19000294,Cairnbulg and Inverallochy,266001
S19000295,Whitehills,267001
S19000296,Cullen,268001
S19000297,Evanton,269001
S19000298,Findochty,270001
S19000299,Alness,271001
S19000300,Cromarty,272001
S19000301,Rosehearty,273001
S19000302,Sandhaven,274001
S19000303,Burghead,275001
S19000304,Duffus,276001
S19000305,Portknockie,277001
S19000306,Invergordon,278001
S19000307,Lossiemouth,279001
S19000308,Hopeman,280001
S19000309,Balintore,281001
S19000310,Milton and Kildary,282001
S19000311,Tain,283001
S19000312,Dornoch,284001
S19000313,Ullapool,285001
S19000314,Golspie,286001
S19000315,Brora,287001
S19000316,Steornabhagh (Stornoway),288001
S19000317,Halkirk,289001
S19000318,Thurso,290001
S19000319,Castletown,291001
S19000320,Stromness,292001
S19000321,Kirkwall,293001
S19000322,Scalloway,294001
S19000323,Lerwick,295001
S19000324,Brae,296001
S19000325,Whithorn,297001
S19000326,Port William,298001
S19000327,Portpatrick,299001
S19000328,Wigtown,300001
S19000329,Glenluce,301001
S19000330,Creetown,302001
S19000331,Stranraer,303001
S19000332,Dalbeattie,304001
S19000333,Castle Douglas,305001
S19000334,Annan,306001
S19000335,Newton Stewart,307001
S19000336,Eastriggs,308001
S19000337,Gretna,309001
S19000338,Dumfries,310001
S19000339,Ecclefechan,311001
S19000340,Eaglesfield,312001
S19000341,Cargenbridge,313001
S19000342,Locharbriggs,314001
S19000343,Lockerbie,315001
S19000344,Langholm,316001
S19000345,Newcastleton,317001
S19000346,Thornhill (Dumfries & Galloway),318001
S19000347,Girvan,319001
S19000348,Dailly,320001
S19000349,Bellsbank,321001
S19000350,Moffat,322001
S19000351,Crosshill,323001
S19000352,Dalmellington and Burnton,324001
S19000353,Maidens,325001
S19000354,Maybole,326001
S19000355,Sanquhar,327001
S19000356,Kirkconnel,328001
S19000357,New Cumnock,329001
S19000358,Dalrymple,330001
S19000359,Ayr,331001
S19000360,Prestwick,331002
S19000361,Drongan,332001
S19000362,Cumnock,333001
S19000363,Denholm,334001
S19000364,Coylton,335001
S19000365,Logan,336001
S19000366,Jedburgh,337001
S19000367,Auchinleck,338001
S19000368,Ochiltree,339001
S19000369,Annbank,340001
S19000370,Mossblown,341001
S19000371,Tarbolton,342001
S19000372,Mauchline,343001
S19000373,Muirkirk,344001
S19000374,Monkton,345001
S19000375,Selkirk,346001
S19000376,Yetholm,347001
S19000377,Douglas,348001
S19000378,Troon,349001
S19000379,St Boswells,350001
S19000380,Loans,351001
S19000381,Symington (South Ayrshire),352001
S19000382,Newtown St Boswells,353001
S19000383,Coalburn,354001
S19000384,Dundonald,355001
S19000385,Kilmarnock,356001
S19000386,Rigside,357001
S19000387,Newmilns,358001
S19000388,Galston,358002
S19000389,Hurlford and Crookedholm,359001
S19000390,Innerleithen,360001
S19000391,Biggar,361001
S19000392,Crosshouse,362001
S19000393,Darvel,363001
S19000394,Walkerburn,364001
S19000395,Lesmahagow,365001
S19000396,Peebles,366001
S19000397,Cardrona,367001
S19000398,Earlston,368001
S19000399,Coldstream,369001
S19000400,Kirkmuirhill and Blackwood,370001
S19000401,Kirkfieldbank,371001
S19000402,Strathaven,372001
S19000403,Carstairs Junction,373001
S19000404,Stonehouse,374001
S19000405,Stewarton,375001
S19000406,Stow,376001
S19000407,Crossford (South Lanarkshire),377001
S19000408,Carnwath,378001
S19000409,Carstairs,379001
S19000410,Greenlaw,380001
S19000411,Netherburn,381001
S19000412,Glassford,382001
S19000413,Lauder,383001
S19000414,Carluke,384001
S19000415,Chapelton,385001
S19000416,Ashgill,386001
S19000417,Larkhall,386002
S19000418,Dunlop,387001
S19000419,Quarter,388001
S19000420,East Kilbride,389001
S19000421,West Linton,390001
S19000422,Law,391001
S19000423,Hamilton,392001
S19000424,Blantyre,392002
S19000425,Duns,393001
S19000426,Forth,394001
S19000427,Chirnside,395001
S19000428,Fauldhouse,396001
S19000429,Ayton,397001
S19000430,Stoneyburn,398001
S19000431,Addiebrownhill,398002
S19000432,Longridge,399001
S19000433,Rosewell,400001
S19000434,East Calder,401001
S19000435,Mid Calder,401002
S19000436,Livingston,401003
S19000437,Whitburn,402001
S19000438,East Whitburn,402002
S19000439,Pathhead,403001
S19000440,Roslin,404001
S19000441,Eyemouth,405001
S19000442,Loanhead,406001
