Locality2010Code,Locality2010Name,NRSoldLocality2010Code
S19000443,Blackridge,407001
S19000444,Blackburn (West Lothian),408001
S19000445,Bathgate,408002
S19000446,Seafield,409001
S19000447,Coldingham,410001
S19000448,Armadale,411001
S19000449,Kirknewton,412001
S19000450,Pencaitland,413001
S19000451,Ormiston,414001
S19000452,Gifford,415001
S19000453,Danderhall,416001
S19000454,Whitecraig,417001
S19000455,Broxburn,418001
S19000456,Dechmont,419001
S19000457,Ratho,420001
S19000458,Elphinstone,421001
S19000459,Torphichen,422001
S19000460,Ratho Station,423001
S19000461,Tranent,424001
S19000462,Macmerry,425001
S19000463,Prestonpans,426001
S19000464,Haddington,427001
S19000465,Winchburgh,428001
S19000466,Kirkliston,429001
S19000467,Linlithgow,430001
S19000468,Longniddry,431001
S19000469,Cockenzie,432001
S19000470,Queensferry,433001
S19000471,East Linton,434001
S19000472,Dunbar,435001
S19000473,West Barns,436001
S19000474,Aberlady,437001
S19000475,Gullane,438001
S19000476,North Berwick,439001
S19000477,Kirkcudbright,440001
S19000478,Gatehouse of Fleet,441001
S19000479,Lochmaben,442001
S19000480,Patna,443001
S19000481,Hawick,444001
S19000482,Catrine,445001
S19000483,Maxwellheugh,446001
S19000484,Kelso,447002
S19000485,Galashiels,448001
S19000486,Melrose,449001
S19000487,Irvine,450001
S19000488,Dreghorn,450002
S19000489,Kilmaurs,451001
S19000490,Fenwick,452001
S19000491,Lanark,453001
S19000492,Dalry,454001
S19000493,Waterfoot,455001
S19000494,Beith,456001
S19000495,Milton,457001
S19000496,Bargeddie,457002
S19000497,Duntocher and Hardgate,457003
S19000498,Bothwell,457004
S19000499,Barrhead,457005
S19000500,Stepps,457006
S19000501,Elderslie,457007
S19000502,Bishopbriggs,457008
S19000503,Paisley,457009
S19000504,Chapelhall,457010
S19000505,Viewpark,457011
S19000506,Milngavie,457012
S19000507,Plains,457014
S19000508,Renfrew,457015
S19000509,Busby,457016
S19000510,Glasgow,457017
S19000511,Old Kilpatrick,457018
S19000512,Newarthill,457019
S19000513,Linwood,457020
S19000514,Newton Mearns,457021
S19000515,Carfin,457022
S19000516,Cambuslang,457023
S19000517,Motherwell,457024
S19000518,Wishaw,457025
S19000519,Coatbridge,457026
S19000520,Uddingston,457027
S19000521,Bellshill,457028
S19000522,Giffnock,457029
S19000523,Clarkston,457030
S19000524,Howwood,457031
S19000525,Rutherglen,457032
S19000526,Carmunnock,457033
S19000527,New Stevenston,457034
S19000528,Newmains,457035
S19000529,Calderbank,457036
S19000530,Bearsden,457037
S19000531,Johnstone,457038
S19000532,Faifley,457039
S19000533,Clydebank,457040
S19000534,Holytown,457041
S19000535,Airdrie,457042
S19000536,Kilbarchan,457043
S19000537,Netherlee,457044
S19000538,Stamperland,457045
S19000539,Thornliebank,457046
S19000540,Penicuik,458001
S19000541,Gorebridge,459002
S19000542,Bilston,460001
S19000543,Polbeth,461001
S19000544,West Calder,461002
S19000545,Mayfield,462001
S19000546,Bonnyrigg,462003
S19000547,Dalkeith,462004
S19000548,Harthill,463001
S19000549,Musselburgh,464001
S19000550,Edinburgh,464002
S19000551,Chryston,465003
S19000552,Muirhead,465013
S19000553,Cumbernauld,466001
S19000554,Bonhill,467001
S19000555,Alexandria,467002
S19000556,Renton,467003
S19000557,Dumbarton,467004
S19000558,Bridgend,468001
S19000559,Falkirk,469001
S19000560,Stenhousemuir,469002
S19000561,Carron,469003
S19000562,Grangemouth,469004
S19000563,Polmont,469005
S19000564,Brightons,469006
S19000565,Carronshore,469007
S19000566,Larbert,469008
S19000567,Laurieston,469009
S19000568,Maddiston,469010
S19000569,Redding,469011
S19000570,Reddingmuirhead,469012
S19000571,Rumford,469013
S19000572,Wallacestone,469014
S19000573,Westquarter,469015
S19000574,Denny,470001
S19000575,Banknock,470002
S19000576,Haggs,470003
S19000577,Dunipace,470004
S19000578,Bonnybridge,470005
S19000579,Dennyloanhead,470006
S19000580,Greenhill,470007
S19000581,Head of Muir,470008
S19000582,High Bonnybridge,470009
S19000583,Inverkeithing,471002
S19000584,Rosyth,471003
S19000585,Dunfermline,471004
S19000586,Cowdenbeath,472001
S19000587,Lochgelly and Lumphinnans,472002
S19000588,Bannockburn,473001
S19000589,Stirling,473002
S19000590,Bridge of Allan,473003
S19000591,Perth,474001
S19000592,Dundee,475001
S19000593,Invergowrie,475002
S19000594,Monifieth,475003
S19000595,Burrelton,476001
S19000596,Alyth,477001
S19000597,Kirriemuir,478001
S19000598,Dyce,479001
S19000599,Cove Bay,479002
S19000600,Aberdeen,479003
S19000601,Balloch,480001
S19000602,Culloden,480002
S19000603,Smithton,480003
S19000604,Inverness,480004
S19000605,Westhill (Highland),480005
S19000606,Fochabers,481001
S19000607,Wick,482001
S19000608,Balmullo,483001
S19000609,Gauldry,484001
S19000610,Guardbridge,485001
S19000611,Leuchars,485002
S19000612,Newport-on-Tay and Wormit,486001
S19000613,Tayport,487001
S19000614,Croy,488001
S19000615,Dullatur,489001
S19000616,Cuminestown,490001
S19000617,Liff,491001
S19000618,St Fergus,492001
S19000619,Buchlyvie,493001
S19000620,Moniaive,494001
S19000621,Tighnabruaich,495001
S19000622,Kingseat (Aberdeenshire),496001
S19000623,Braidwood,497001
S19000624,Symington (South Lanarkshire),498001
S19000625,Thankerton,499001
S19000626,Hallglen,500001
S19000627,Crossgates,501001
S19000628,Dalgety Bay,502001
S19000629,North Queensferry,503001
