IntermediateZone2001Code,IntermediateZone2001Name
S02000001,Cove South
S02000002,Kincorth, Leggart and Nigg South
S02000003,Culter
S02000004,Cults, Bieldside and Milltimber East
S02000005,Cove North
S02000006,Kincorth, Leggart and Nigg North
S02000007,Cults, Bieldside and Milltimber West
S02000008,Garthdee
S02000009,Braeside, Mannofield, Broomhill and Seafield South
S02000010,Ferryhill South
S02000011,Braeside, Mannofield, Broomhill and Seafield East
S02000012,Torry West
S02000013,Braeside, Mannofield, Broomhill and Seafield North
S02000014,Hazlehead
S02000015,Torry East
S02000016,Ferryhill North
S02000017,West End South
S02000018,City Centre
S02000019,West End North
S02000020,Summerhill
S02000021,Rosemount
S02000022,Hanover
S02000023,Midstocket
S02000024,George Street
S02000025,Mastrick
S02000026,Ashgrove
S02000027,Sheddocksley
S02000028,Stockethill
S02000029,Froghall, Powis and Sunnybank
S02000030,Cummings Park
S02000031,Northfield
S02000032,Seaton
S02000033,Hilton
S02000034,Heathryfold and Middlefield
S02000035,Kingswells
S02000036,Tillydrone
S02000037,Old Aberdeen
S02000038,Woodside
S02000039,Bucksburn South
S02000040,Danestone
S02000041,Balgownie and Donmouth West
S02000042,Balgownie and Donmouth East
S02000043,Bucksburn North
S02000044,Oldmachar East
S02000045,Oldmachar West
S02000046,Denmore
S02000047,Dyce
S02000048,Mearns South and Benholm
S02000049,Mearns and Laurencekirk
S02000050,Mearns North and Inverbervie
S02000051,Stonehaven South
S02000052,Stonehaven North
S02000053,Fetteresso, Netherley and Catter
S02000054,Aboyne and South Deeside
S02000055,Newtonhill
S02000056,East Cairngorms
S02000057,Banchory
S02000058,Portlethen
S02000059,Banchory-Devenick and Findon
S02000060,Crathes and Torphins
S02000061,Dunecht, Durris and Drumoak
S02000062,Garlogie and Elrick
S02000063,Westhill Central
S02000064,Westhill North and South
S02000065,Cromar and Kildrummy
S02000066,Kintore and Blackburn
S02000067,Kemnay
S02000068,Howe of Alford
S02000069,Balmedie and Potterton
S02000070,Newmachar and Fintray
S02000071,Inverurie South
S02000072,Inverurie North
S02000073,Durno-Chapel of Garioch
S02000074,Barrahill
S02000075,Ythsie
S02000076,Ellon East
S02000077,Ellon West
S02000078,Ythanside
S02000079,Insch, Oyne and Ythanwells
S02000080,Clashindarroch
S02000081,Fyvie-Rothie
S02000082,Cruden
S02000083,Huntly
S02000084,Auchnagatt
S02000085,Peterhead Links
S02000086,Peterhead Bay
S02000087,Auchterless and Monquhitter
S02000088,Peterhead Harbour
S02000089,Peterhead Ugieside
S02000090,Mintlaw
S02000091,Turriff
S02000092,Longside and Rattray
S02000093,Deer and Mormond
S02000094,New Pitsligo
S02000095,Aberchirder and Whitehills
S02000096,Gardenstown and King Edward
S02000097,Portsoy, Fordyce and Cornhill
S02000098,Rosehearty and Strathbeg
S02000099,Banff
S02000100,Macduff
S02000101,Fraserburgh Smiddyhill
S02000102,Fraserburgh Lochpots
S02000103,Fraserburgh Central-Academy
S02000104,Fraserburgh Harbour and Broadsea
S02000105,Monifieth West
S02000106,Monifieth East
S02000107,Carnoustie West
S02000108,Carnoustie East
S02000109,Monikie
S02000110,South Angus
S02000111,Arbroath Keptie
S02000112,Arbroath Harbour
S02000113,Arbroath Kirkton
S02000114,Arbroath Cliffburn
