Postcode,PopulationCount,HouseholdCount,OutputArea2011Code
G11 7BU,17,9,S00112507
G41 2LN,69,27,S00114453
G41 2LW,65,27,S00114453
G41 2LQ,91,29,S00114454
G11 7AJ,45,22,S00116277
G11 7AL,55,29,S00116277
G11 7AN,42,21,S00116277
G41 2HR,35,20,S00114408
G41 2JA,123,47,S00114433
G41 2JD,55,20,S00114456
G41 2JB,124,41,S00114458
G13 4TH,15,6,S00112922
G13 4TJ,56,38,S00112917
G11 7BH,44,22,S00112481
G11 7BJ,46,24,S00112481
G11 7BS,43,19,S00112481
G41 2HW,38,25,S00114411
G13 4TL,21,11,S00112915
G13 4TN,15,8,S00112915
G14 9GA,27,8,S00112952
G14 9GB,11,3,S00112952
G14 9EZ,20,8,S00112958
G12 0QR,22,10,S00112666
G41 2NA,0,0,S00117269
G41 2LH,64,22,S00117273
G44 4QD,92,37,S00116218
G12 0QQ,3,1,S00112664
G1 5DP,55,35,S00116583
G13 4TF,20,7,S00112922
G13 4TG,38,30,S00112922
G12 8RH,30,15,S00112550
G12 8RQ,47,15,S00112550
G13 4TE,4,1,S00112923
G1 5BX,0,0,S00112182
G41 2LL,18,10,S00114454
G4 9DL,49,15,S00112292
G3 8LU,25,20,S00116017
G3 8LX,44,27,S00116017
G2 4RU,4,1,S00116384
G13 1TP,40,1,S00112702
G13 1TW,10,4,S00112702
G31 1PX,19,12,S00113662
G1 5HA,35,26,S00116574
G1 5HB,0,0,S00116574
G1 5HD,0,0,S00116574
G1 5LR,25,22,S00116574
G1 5LS,10,9,S00116574
G33 5QR,19,10,S00116109
G13 2HG,18,8,S00112794
G13 4QH,27,10,S00116856
G22 6PD,79,44,S00113558
G13 1TR,33,11,S00112703
G33 5QS,39,22,S00114256
G41 2NB,34,11,S00114450
G41 2ND,38,14,S00114450
G13 4QG,67,43,S00112916
G13 2HH,83,41,S00112793
G1 5LA,15,10,S00116586
G1 5LG,12,10,S00116586
G3 8LH,0,0,S00116614
G31 2JH,52,20,S00117097
G31 2JJ,20,9,S00117097
G13 1TU,106,44,S00116793
G22 6PG,8,4,S00117077
G13 1TQ,30,8,S00112713
G13 4QJ,65,26,S00116857
G13 4QL,46,14,S00116857
G3 8LQ,110,66,S00112256
G33 5QT,52,41,S00114245
G33 5QW,114,51,S00114257
G5 0SJ,55,31,S00117589
G44 3LS,6,2,S00114968
G44 3LT,37,14,S00114968
G44 3LU,2,2,S00114968
G5 0RR,83,44,S00117595
G51 3AL,47,25,S00116263
G5 0SE,37,25,S00116697
G5 0SF,2,1,S00116697
G5 0SR,48,33,S00117593
G5 0SW,14,14,S00117593
G5 0RU,55,28,S00116709
G44 5JF,86,34,S00115112
G5 0RS,76,41,S00117596
G44 5JD,70,34,S00115096
G40 3HF,34,24,S00114377
G51 3AJ,61,28,S00115362
G40 3JD,34,19,S00114380
G40 3JE,4,4,S00114380
G40 3JF,5,4,S00114380
G44 5JE,48,21,S00115098
G44 5JG,73,28,S00115111
G40 3HE,16,13,S00116147
G40 3JB,23,17,S00116147
G44 3LN,10,8,S00114964
G44 3LR,93,45,S00114965
G44 3LPA,24,11,S00114967
G44 3LW,62,40,S00114967
G51 3AN,59,40,S00117448
G5 0SL,98,43,S00117599
G5 0SU,38,24,S00112352
G5 0ST,0,0,S00116194
G5 0SH,128,70,S00117600
G5 0SN,54,21,S00116195
G5 0SQ,64,35,S00116195
G11 7AA,64,39,S00116742
G11 7AH,38,17,S00112454
G11 7AE,84,33,S00112453
G11 7AG,69,36,S00112453
G11 7AB,54,22,S00116742
G11 7DD,40,12,S00112454
G41 2LP,30,11,S00117273
G11 7BT,34,20,S00112507
G31 1PY,34,19,S00113663
G13 2HE,16,7,S00112795
G13 1TT,103,39,S00112707
G31 1NW,47,31,S00113657
G1 5EU,0,0,S00112182
G1 5EZ,38,24,S00112182
G1 5AU,0,0,S00112182
G1 5AZ,0,0,S00112182
G1 5HX,20,12,S00116571
G1 5JU,9,6,S00116571
G1 5JY,15,12,S00116571
G1 5JZ,0,0,S00116571
G32 6NG,43,22,S00117133
G12 8RR,9,5,S00112546
G32 6NH,41,23,S00113846
G13 2HF,11,6,S00112797
G33 5QU,48,42,S00114244
G33 5QX,161,66,S00114244
G3 8LD,92,44,S00112259
G2 4RW,0,0,S00116384
G2 4SQ,0,0,S00116384
G2 4JX,0,0,S00116384
G2 4QE,0,0,S00116382
G2 4QY,0,0,S00116382
G2 4RH,0,0,S00116384
G2 4RL,0,0,S00116384
G13 2BG,46,41,S00112751
G14 0AY,68,47,S00112999
G31 2PX,53,24,S00113710
G11 5EF,29,19,S00112373
G13 1RL,33,24,S00112727
G53 7BH,28,14,S00116328
G15 8LH,0,0,S00115941
G3 8TJ,77,38,S00112253
G41 2HN,26,18,S00114408
G40 4BT,37,14,S00117248
G11 5HA,54,22,S00112391
G40 4BW,10,5,S00116156
G40 4BX,28,18,S00116156
G40 4BZ,59,38,S00117250
G3 8SQ,69,31,S00112240
G3 8TH,89,36,S00117626
G14 0AX,65,42,S00112998
G14 0BA,66,27,S00112998
G40 4BP,53,21,S00117247
G32 6HZ,7,4,S00113842
G31 1HX,10,6,S00117095
