Postcode,PopulationCount,HouseholdCount,OutputArea2011Code
G2 4LP,96,57,S00116588
G2 4NB,42,13,S00116589
G2 4NG,29,9,S00116589
G2 4JP,15,6,S00116589
G3 8XS,19,19,S00112264
G13 4TA,72,41,S00112918
G15 8JU,18,8,S00115970
G15 8LB,0,0,S00115970
G15 8LE,20,8,S00115970
G32 6JA,10,6,S00113840
G32 6JB,5,4,S00113840
G32 6JD,20,10,S00113840
G13 1RP,17,8,S00112721
G41 2NE,0,0,S00114451
G41 2HP,46,31,S00114410
G14 0AZ,64,35,S00116881
G31 2PU,43,32,S00113712
G14 0AT,34,21,S00116879
G31 2PG,39,25,S00113690
G3 8RN,89,59,S00112268
G14 9GD,60,18,S00112952
G14 9EW,35,11,S00112952
G3 8RG,36,24,S00112244
G3 8RQ,30,24,S00112244
G3 8RZ,26,15,S00112244
G41 2HA,35,22,S00114407
G41 2HG,26,18,S00114407
G3 8SL,39,30,S00112242
G3 8SN,41,30,S00112242
G14 9GE,37,10,S00115928
G41 2NG,12,4,S00117265
G41 2NH,21,7,S00117265
G44 4HZ,118,44,S00115034
G13 1RU,30,18,S00112719
G13 1RY,2,1,S00112719
G31 2PR,35,13,S00117110
G3 8RH,77,44,S00112255
G15 8JL,92,29,S00113117
G3 8TL,44,24,S00117630
G3 8TR,4,1,S00117630
G11 7XF,54,42,S00112462
G11 7UB,78,55,S00112460
G11 7UD,1,1,S00112460
G31 2PS,41,26,S00113706
G41 2EY,46,33,S00114423
G41 2EZ,46,34,S00114423
G13 2AT,85,46,S00112785
G13 4SA,27,13,S00116853
G3 8RE,34,28,S00112247
G3 8SB,70,40,S00112243
G3 8SD,50,32,S00112243
G14 9HF,29,10,S00112925
G14 9EX,17,10,S00112925
G14 9EY,25,11,S00112925
G14 0HG,80,33,S00113013
G32 6JE,17,13,S00113839
G13 4SB,44,21,S00112914
G13 4SF,16,8,S00112914
G31 2PT,83,46,S00113704
G3 8SR,30,18,S00116628
G3 8SW,60,36,S00116628
G15 8LF,24,9,S00113121
G3 8TX,66,38,S00117627
G15 8JT,8,5,S00113120
G15 8LD,14,6,S00113120
G14 9HA,28,11,S00112958
G31 2PP,82,47,S00113709
G21 3EP,20,6,S00113438
G53 7BG,49,20,S00115776
G44 4HX,23,8,S00115032
G22 7RF,17,8,S00113590
G13 1RR,15,4,S00112716
G13 1RT,37,23,S00112716
G13 1RX,49,23,S00112716
G3 8RF,24,19,S00112251
G13 2AX,53,30,S00112779
G13 4TB,64,35,S00112917
G23 5EH,34,17,S00113614
G21 3EQ,21,8,S00113440
G14 9HD,4,1,S00112951
G2 4JR,20,7,S00116587
G2 4LW,0,0,S00116587
G2 4LY,1,1,S00116587
G2 4NH,0,0,S00116587
G2 4NJ,0,0,S00116587
G2 4NQ,1,0,S00116587
G2 4NY,40,24,S00116587
G2 4PB,0,0,S00116587
G2 4PG,0,0,S00116587
G2 4PH,0,0,S00116587
G2 4PQ,22,14,S00116587
G2 4PR,0,0,S00116587
G2 4PS,1,1,S00116587
G31 1JX,0,0,S00113657
G31 1NG,0,0,S00113657
G31 1NQ,0,0,S00113657
G31 1NT,0,0,S00113657
G1 5DR,0,0,S00112182
G11 5HB,21,9,S00112394
G2 4JW,49,13,S00116590
G3 8SE,62,40,S00116629
G3 8SF,44,32,S00116629
G3 8SG,46,32,S00116629
G13 1RZ,24,8,S00112706
G13 1SA,29,15,S00116788
G14 9HB,41,18,S00112956
G14 9HE,59,25,S00112956
G44 4HY,66,21,S00115029
G13 1RS,62,18,S00112720
G12 8BP,46,17,S00112556
G13 4SH,53,20,S00112913
G23 5EJ,53,19,S00113639
G15 6RX,0,0,S00116905
G15 6RY,0,0,S00116905
G33 5QY,29,13,S00114269
G33 5QZ,40,21,S00114269
G3 8SA,34,19,S00116627
G13 4SG,16,6,S00116855
G15 8JY,29,12,S00113124
G1 1HJ,42,31,S00112164
G20 7XP,19,16,S00116425
G1 4QP,11,6,S00112271
G15 6SG,9,4,S00113037
G15 6UX,6,3,S00113037
G1 1EA,0,0,S00112179
G12 0JU,37,12,S00112699
G12 0LL,28,9,S00112699
G12 0LN,62,23,S00112699
G13 1AQ,136,60,S00112729
G13 1TL,3,1,S00112702
G13 1TN,12,4,S00112702
G13 1DS,8,7,S00116365
G13 1DT,10,2,S00116365
G13 1LY,28,19,S00112743
G14 9ET,38,31,S00116858
G13 1DA,33,13,S00116372
G41 2NT,99,43,S00117266
G13 1SS,58,40,S00112727
G12 8EW,63,24,S00116756
G1 5RH,0,0,S00116574
G1 5RP,0,0,S00116574
G1 5LY,12,12,S00116574
G22 7PQ,22,12,S00113577
G13 1DN,138,75,S00112742
G42 8ND,34,21,S00114726
G42 8NE,52,37,S00117295
G11 7XG,83,64,S00112461
G22 7PU,48,18,S00113593
G13 1EF,41,32,S00112734
G44 4LB,27,25,S00115054
G44 4LH,20,7,S00115054
G13 2HL,71,47,S00112813
G1 1LD,0,0,S00112166
G13 1SR,124,48,S00116807
G1 1JF,0,0,S00116345
G1 1JN,0,0,S00116345
G53 7BE,9,4,S00117510
G13 1ND,37,20,S00116808
G13 1NF,20,7,S00116808
G13 1AU,48,22,S00112726
G3 8TE,78,33,S00112257
G12 8ER,47,22,S00112531
G12 8EU,89,37,S00112531
G44 4LT,65,28,S00117371
G11 5AU,70,26,S00112362
G13 1DJ,0,0,S00112735
G13 1EG,21,15,S00112735
G14 0BD,26,21,S00116881
G14 0BG,27,15,S00116881
G20 8QR,48,13,S00113205
G12 8BG,75,35,S00112552
G14 0BB,57,36,S00116879
G1 1HF,53,33,S00116569
G15 6SD,36,12,S00116906
G14 9EH,44,13,S00112952
G14 9EJ,29,14,S00112952
G14 9EP,12,6,S00112952
G53 7BA,26,10,S00115764
G1 1DX,15,12,S00112169
G1 5NA,23,17,S00116579
G42 8NA,31,17,S00114729
G22 7QZ,135,52,S00113588
G22 7RB,33,13,S00113588
G22 7RD,7,2,S00113588
G13 1BY,9,8,S00116798
G14 9EU,0,0,S00117554
G44 4JZ,101,40,S00115055
G15 8SY,40,18,S00113113
G15 8SZ,7,4,S00113113
G22 7QW,25,9,S00116020
G22 7QP,4,2,S00116020
G22 7QR,24,8,S00116020
G42 8NF,32,28,S00114725
G13 4QZ,16,6,S00112907
G13 4RH,40,18,S00112907
G41 2NU,65,29,S00117265
G13 1NG,45,17,S00112746
G14 9EF,52,23,S00112954
G14 9EL,15,7,S00112954
G14 9EQ,65,24,S00112954
G22 7PP,36,20,S00113595
G22 7PW,34,17,S00113595
G13 4RA,11,6,S00112905
G13 4RB,22,8,S00112905
G13 4RD,8,4,S00112905
G3 7NY,25,13,S00112222
G11 5AL,35,16,S00112365
G13 2HN,115,64,S00112784
G13 1DP,49,20,S00112731
G13 1DR,49,26,S00112731
G13 1DW,21,12,S00112731
G14 0BS,11,6,S00113008
G14 0BT,13,6,S00113008
G13 1LZ,42,32,S00116805
G13 1NA,46,25,S00116805
G13 1NE,40,30,S00116805
G42 8LY,54,37,S00116203
G13 1SJ,96,30,S00112712
G1 4RT,0,0,S00117635
G13 1BU,72,30,S00116796
G13 1DE,53,32,S00116797
G13 1DG,51,36,S00116797
G11 5AW,68,25,S00112363
G11 5AZ,5,3,S00112363
G3 7NR,15,5,S00112221
G3 7NT,61,28,S00112221
G13 1ST,73,32,S00116806
G3 7NB,1,1,S00112238
G3 7PB,1,1,S00112225
G3 7PQ,27,11,S00112225
G22 7PT,16,9,S00113594
G12 8AW,54,23,S00112562
G12 8SH,9,5,S00112562
G44 4JU,93,37,S00115038
G44 4JX,51,15,S00115038
G15 6SF,11,7,S00113034
G41 2NS,59,24,S00114446
G13 1BS,31,17,S00112722
G13 4RW,15,5,S00116853
G11 5AP,45,14,S00112364
G11 5AR,20,15,S00112364
G42 8NG,52,40,S00117296
G44 4JW,33,11,S00115036
G13 4BB,13,8,S00112903
G53 7BL,0,0,S00117504
G13 4RQ,45,22,S00112906
G13 1SH,39,13,S00112713
G13 1TG,14,5,S00112713
G22 7QU,40,22,S00113579
G22 7QX,74,37,S00113579
G22 7QY,19,8,S00113579
G14 9EN,40,12,S00112950
G12 8BL,64,22,S00112553
G14 9ER,24,18,S00112963
G3 7PY,2,1,S00112191
G3 7QD,1,1,S00112191
G53 7AQ,56,30,S00115784
G53 7AY,26,13,S00115784
G13 4QY,7,5,S00112909
G13 4RJ,12,7,S00112909
G15 6XA,36,13,S00115938
G15 6XB,62,25,S00115938
G13 1BZ,79,50,S00112732
G13 4RF,51,21,S00112898
G15 8RA,46,22,S00113122
G13 4QN,84,30,S00116857
G11 5AJ,5,2,S00112366
G20 8QJ,62,28,S00113206
G20 8QN,57,30,S00113206
G11 7XH,36,22,S00112463
G11 7XQ,36,29,S00112463
G22 7PY,0,0,S00113600
G14 9EE,14,4,S00112953
G53 7BF,62,20,S00115776
G20 7XX,38,24,S00113180
G20 7YA,43,20,S00115976
G13 2JW,45,26,S00112778
G13 4QU,0,0,S00112910
G13 4QX,10,5,S00112910
G13 4RL,39,22,S00112910
G13 4RN,12,7,S00112910
G13 4RZ,20,6,S00112910
G23 5EQ,27,16,S00117082
G44 4LU,55,22,S00115039
G44 4LP,95,35,S00115039
G1 5ES,0,0,S00112182
G44 4LN,14,4,S00115041
G44 4LR,95,34,S00115041
G44 4LS,5,1,S00115041
G13 2JX,48,20,S00112807
G20 8QG,46,25,S00115978
G20 8QL,4,2,S00115978
G13 1DD,7,3,S00112736
G13 1DF,82,40,S00112736
G13 1DL,23,15,S00112736
G13 1SF,81,27,S00112715
G13 1SG,68,26,S00112714
G13 1SL,24,9,S00112714
G13 1SQ,34,16,S00112715
G13 4BA,8,4,S00112899
G13 4RE,8,4,S00112899
G13 4RG,21,11,S00112899
G12 0LH,43,15,S00112651
G12 0LJ,67,25,S00112651
G13 1SD,45,17,S00112706
G13 1SE,30,8,S00112706
G13 1SN,49,17,S00112706
G13 1SW,0,0,S00112706
G12 0LG,73,24,S00112650
G22 7QQ,0,0,S00113572
G13 1AR,70,35,S00112724
G13 1BA,0,0,S00112724
G22 7PX,8,4,S00113602
G53 7AN,44,21,S00115783
G53 7AP,51,20,S00115783
G53 7AW,38,20,S00115783
G12 0AX,152,47,S00116767
G31 2JF,43,19,S00113686
G41 2NW,152,45,S00114445
G1 5RJ,38,33,S00116573
G1 5LU,24,18,S00116573
G23 5ES,27,9,S00113639
G53 7BN,49,44,S00117505
G44 4LW,98,40,S00115040
G15 6SE,4,4,S00116905
G12 0AP,42,31,S00116769
G14 0BP,76,42,S00113002
G20 7XU,23,16,S00113185
G13 1EL,0,0,S00116800
G53 7BD,49,25,S00115795
G1 1JG,101,61,S00112176
G53 7BB,187,60,S00115773
G13 4QP,27,11,S00116855
G13 1BX,107,69,S00116369
G13 1BP,64,35,S00116368
G1 5NP,89,50,S00116576
G1 5NF,31,27,S00116571
G13 2HJ,56,47,S00112782
G53 7BJ,40,13,S00115792
G1 5BS,5,4,S00112180
G1 5DS,0,0,S00116394
G2 4HF,11,6,S00116384
G2 4HG,0,0,S00116384
G2 4HU,0,0,S00116384
G2 4HW,13,11,S00116384
G2 4JD,0,0,S00116384
G2 2XW,0,0,S00116384
G2 3AB,0,0,S00116384
G2 3AH,0,0,S00116384
G15 6SJ,8,3,S00113037
G15 6SN,33,12,S00113037
G53 7AD,67,28,S00116306
G31 4UW,41,24,S00117122
G23 5HA,3,1,S00117080
G40 4BH,15,5,S00116160
G40 4BJ,8,5,S00116160
G4 9HF,72,37,S00112283
G13 2DP,54,27,S00112814
G13 2DR,12,6,S00112814
G13 2DS,76,37,S00112814
G15 6SL,8,3,S00113036
G12 9AS,53,29,S00112590
G53 6RU,13,4,S00116292
G32 6LA,14,7,S00113841
G32 6LB,20,7,S00113841
G32 6LD,28,14,S00113841
G32 6LE,30,15,S00113841
G4 9HX,77,40,S00112285
G4 9HY,27,12,S00112285
G14 9XG,86,38,S00112926
G31 2PY,22,12,S00113710
G13 3QG,55,32,S00112855
G13 3YZ,42,16,S00112826
G15 7QL,46,20,S00115952
G13 2RH,25,16,S00112775
G40 4BL,17,11,S00117248
G40 4BG,32,19,S00116156
G15 7RA,58,23,S00113088
G42 8QN,111,46,S00114742
G32 6JZ,77,30,S00113828
G14 0DB,102,48,S00113004
G32 6JW,77,43,S00113836
G23 5EW,30,9,S00113640
G14 0DF,65,48,S00113006
G22 7JT,39,16,S00113593
G15 7RZ,99,31,S00115946
G15 7SW,18,9,S00115946
G53 6RX,108,41,S00115719
G22 7RW,20,6,S00116024
G13 3YL,47,24,S00112858
G12 0FE,72,22,S00116771
G14 9JW,26,10,S00112968
G2 4JL,0,0,S00116589
G14 0EA,23,15,S00113029
G14 0EB,79,40,S00113029
G13 2BP,1,1,S00112794
G14 9JL,33,11,S00112971
G14 9JR,41,17,S00112971
G14 9JT,21,8,S00112971
G14 9JQ,51,18,S00112971
G4 9HG,69,51,S00112282
G4 9HJ,0,0,S00112282
G15 7QT,13,5,S00113093
G12 0HF,17,8,S00112653
G12 0HH,18,12,S00112653
G14 0EW,57,25,S00113025
G14 0EE,82,26,S00113025
G14 0EN,60,24,S00113025
G23 5EZ,0,0,S00113621
G12 8RY,37,15,S00112554
G13 2DE,31,14,S00116811
G13 2DN,3,2,S00116811
G12 8SA,4,1,S00112551
G12 8SD,3,1,S00112551
G32 6LF,14,9,S00117131
G32 6LQ,36,16,S00117131
G31 2QA,108,57,S00113713
G14 0DL,44,27,S00113003
G14 0DN,89,42,S00113003
G15 8HG,66,26,S00115968
G15 8HH,60,15,S00115968
G15 8HQ,61,18,S00115968
G14 9XF,70,34,S00112929
G13 3YY,7,3,S00112825
G22 7RY,18,7,S00113566
G22 7RZ,62,26,S00113566
G13 1TX,58,17,S00112703
G3 7LL,51,34,S00112230
G15 7RB,61,18,S00115949
G44 4QE,46,21,S00115026
G41 2DW,76,47,S00114418
G13 1EQ,0,0,S00112735
G14 9JS,16,5,S00112972
G14 0BY,78,36,S00113012
G23 5DW,104,46,S00117081
G14 0DE,85,46,S00113005
G12 9AN,2,1,S00112587
G22 7QT,136,60,S00113575
G23 5DX,29,12,S00116033
G14 0DQ,10,8,S00116879
G53 6RA,0,0,S00115724
G53 6RB,37,17,S00115724
G14 0DG,73,48,S00113000
G13 4AP,34,18,S00112904
G13 4AW,64,29,S00112904
G13 3PT,72,41,S00116820
G13 3YJ,74,34,S00116828
G14 0EP,65,28,S00113030
G14 0ED,5,2,S00113030
G14 0EG,80,30,S00113030
G13 4NB,70,24,S00112889
G13 2DD,72,28,S00116814
G15 7QP,57,31,S00115953
G15 7QS,2,1,S00115953
G31 4XR,49,24,S00117123
G13 1ER,29,15,S00112725
G12 0HL,15,8,S00112652
G20 0NF,21,12,S00113333
G44 4HF,38,30,S00114992
G44 4HG,26,16,S00114992
G42 8QR,0,0,S00114785
G13 4BL,34,19,S00112898
G13 4BW,0,0,S00112898
G15 8QL,52,23,S00113123
G20 9PJ,71,29,S00113285
G20 0JB,39,30,S00113319
G20 0JE,46,28,S00113319
G31 4TB,109,62,S00113783
G15 8JX,36,13,S00113120
G12 0UP,96,28,S00112681
G13 3LR,31,15,S00112836
G13 3LS,4,2,S00112836
G13 3LT,34,17,S00112836
G13 3LX,10,3,S00112836
G4 9DP,32,14,S00116045
G4 9EH,96,41,S00116045
G20 0JQ,66,20,S00113318
G44 4HS,100,39,S00115032
G31 4TL,19,14,S00113788
G44 4HD,44,34,S00114991
G44 4HE,28,23,S00114991
G14 0ES,3,1,S00116902
G20 7YD,0,0,S00113180
G20 7YE,19,8,S00113180
G12 0UN,2,2,S00116356
G12 0UT,29,21,S00112687
G12 0UU,4,2,S00112687
G12 0XE,32,21,S00112687
G12 9UZ,48,31,S00116356
G11 7TU,38,29,S00112456
G11 7TX,37,30,S00112456
G42 8TA,43,16,S00114671
G20 0PD,72,28,S00113331
G20 0NU,127,66,S00113297
G15 6TH,13,4,S00113053
G15 6TP,28,11,S00113053
G15 6TR,24,12,S00113053
G31 4US,6,3,S00117121
G22 6HD,23,10,S00113527
G22 6HE,14,7,S00113527
G22 6ER,11,7,S00113527
G31 2NT,88,42,S00113716
G13 3UE,20,10,S00112824
G13 3UG,82,39,S00112824
G23 5DJ,49,29,S00113609
G23 5DL,110,56,S00113609
G13 3NQ,37,24,S00112839
G13 3LP,17,8,S00112839
G11 7QZ,77,32,S00116281
G42 8TB,26,9,S00114672
G20 8BP,78,36,S00113249
G13 4DA,7,4,S00112902
G12 8JG,35,13,S00112529
G12 9AP,90,38,S00112585
G12 9AR,16,7,S00112585
G13 2BS,34,15,S00112809
G13 4AH,44,25,S00112907
G41 2NQ,28,9,S00117265
G15 7SU,50,26,S00113084
G13 2ED,17,7,S00112804
G13 2EH,13,9,S00112804
G13 2EN,87,34,S00112804
G13 4AJ,57,28,S00112905
G12 9AQ,78,39,S00112584
G12 9AJ,7,3,S00112584
G32 6LH,30,14,S00113843
G32 6LJ,31,11,S00113843
G32 6LL,7,3,S00113843
G32 6LN,17,12,S00113843
G32 6LP,34,16,S00113843
G4 9HA,44,19,S00112280
G12 0FD,37,13,S00116770
G12 8RZ,1,1,S00112557
G23 5EB,65,21,S00113645
G15 8JD,20,6,S00113117
G14 0BU,82,39,S00113008
G32 6NF,42,26,S00113861
G4 9DF,47,37,S00116640
G14 0AE,0,0,S00112996
G53 6SD,44,21,S00117489
G53 6SE,61,27,S00117489
G12 9AH,6,3,S00112586
G4 9HH,32,24,S00112303
G4 9HL,3,2,S00112303
G31 2PZ,114,53,S00113711
G13 2EJ,29,13,S00112801
G13 3QW,19,9,S00112853
G13 3YH,5,2,S00112853
G13 2BT,71,36,S00116813
G13 2BU,35,18,S00116813
G4 9HZ,21,7,S00113138
G13 4AT,52,23,S00112897
G13 4AU,16,7,S00112897
G13 2DQ,3,1,S00112785
G31 4XA,37,30,S00113799
G13 4NA,37,16,S00112886
G13 3YE,93,37,S00116827
G13 3YF,23,12,S00116827
G13 3YG,20,7,S00116827
G12 9AU,70,46,S00112588
G14 0EU,70,34,S00113027
G14 0EX,65,31,S00113026
G14 0ER,29,13,S00113027
G14 0BZ,76,40,S00113009
G41 2NR,88,25,S00114446
G13 4AL,22,11,S00112903
G13 4AN,23,12,S00112903
G13 2BX,52,27,S00112789
G4 9ES,47,24,S00112289
G4 9ET,65,24,S00112289
G4 9EX,18,8,S00112289
G41 2ET,52,23,S00114424
G41 2EX,52,36,S00114424
G13 2RJ,89,40,S00112769
G14 9JN,36,16,S00112969
G14 9JP,21,6,S00112969
G53 7AG,57,23,S00115784
G32 6JQ,31,19,S00113839
G32 6HX,7,6,S00113839
G32 6HY,24,16,S00113839
G13 4AF,32,16,S00112909
G13 4AG,19,8,S00112909
G13 4AQ,24,10,S00112909
G12 0FA,90,25,S00116772
G13 2RB,27,11,S00112774
G13 2RE,6,4,S00112774
G13 2RF,19,10,S00112774
G13 2RG,6,4,S00112774
G14 0DA,99,46,S00113007
G15 7ST,33,18,S00115949
G13 3PS,77,35,S00112846
G13 2DT,9,4,S00112811
G13 2DW,52,21,S00112811
G15 7QQ,47,19,S00115954
G15 7QW,26,16,S00113090
G15 8HA,26,14,S00113121
G13 3PW,68,33,S00112848
G32 6LR,30,16,S00113850
G32 6LS,29,17,S00113850
G32 6LT,2,1,S00113850
G13 3YU,68,33,S00112827
G12 9AT,59,33,S00112592
G53 6RE,20,9,S00115722
G13 3DU,50,22,S00112871
G4 9HE,16,11,S00116755
G4 9DJ,27,9,S00112297
G13 3YR,25,18,S00112859
G13 3YT,22,11,S00112859
G13 3YW,10,5,S00112859
G22 7RP,20,8,S00113591
G13 4AD,30,16,S00112908
G13 4AE,48,32,S00112908
G13 2EP,22,9,S00112806
G13 2ER,18,8,S00112806
G13 2ES,37,14,S00112806
G13 2ET,12,5,S00112806
G13 2EU,27,11,S00112806
G13 3YN,104,37,S00112860
G13 3YS,45,43,S00112860
G13 3YX,28,17,S00112829
G22 7RJ,12,4,S00116023
G14 0BX,0,0,S00112994
G14 0EH,67,52,S00116903
G14 0EJ,46,22,S00116902
G14 0EL,21,11,S00116902
G20 7YB,33,20,S00115976
G15 7SA,44,21,S00113083
G15 7SB,49,19,S00113083
G15 7SP,3,1,S00113083
G23 5EE,45,23,S00117082
G23 5EG,69,32,S00113614
G41 2DP,76,48,S00114417
G13 2HB,51,29,S00112795
G4 9EU,36,21,S00112286
G4 9HS,16,7,S00112286
G4 9HT,35,11,S00112286
G4 9HU,45,24,S00112286
G4 9EY,6,4,S00112281
G4 9EZ,35,16,S00112281
G41 2NP,185,48,S00114444
G13 2EE,11,5,S00112798
G13 2EF,33,16,S00112798
G13 2EG,5,4,S00112798
G13 2EQ,33,17,S00112798
G13 4AR,35,20,S00112899
G13 4AS,8,4,S00112899
G13 4AX,0,0,S00112899
G13 4AY,0,0,S00112899
G13 4AZ,12,5,S00112899
G13 2RD,11,7,S00112772
G32 6JN,65,40,S00113837
G42 8QB,32,21,S00114745
G42 8QD,20,9,S00114745
G42 8QE,53,30,S00114745
G14 0AS,79,52,S00116878
G14 0DH,24,21,S00113001
G14 0DJ,70,34,S00113001
G14 9XE,73,41,S00112928
G13 2EY,46,20,S00112797
G12 0FB,34,10,S00116767
G44 4QF,61,25,S00115023
G13 2EL,55,29,S00112805
G13 2EW,11,4,S00112805
G23 5EX,21,5,S00113639
G14 0EZ,39,12,S00113033
G14 9XL,55,33,S00112927
G53 6RY,20,7,S00115721
G53 6RZ,79,34,S00115721
G15 6SH,58,18,S00116905
G4 9EQ,100,40,S00112292
G31 4XD,45,24,S00113787
G42 8QP,48,25,S00114744
G14 0EQ,27,14,S00113028
G41 2EL,38,22,S00114409
G41 2EN,45,29,S00114409
G14 0BW,70,33,S00113002
G13 4AA,9,6,S00116854
G13 4AB,33,17,S00116854
G13 1EN,6,5,S00116800
G41 2EQ,63,38,S00114415
G42 8QF,8,4,S00114746
G4 9HB,126,78,S00112279
G15 8JE,20,8,S00113124
G53 7AJ,103,49,S00115780
G53 7AE,63,25,S00115782
G53 7AL,38,20,S00115782
G53 7AF,45,17,S00115792
G2 2NR,19,11,S00116384
G2 2QD,0,0,S00116384
G2 2QZ,0,0,S00116384
G2 1QY,0,0,S00116382
G2 1BT,0,0,S00116382
G20 0JW,82,57,S00113316
G31 4UR,38,18,S00117122
G23 5DP,57,43,S00117080
G15 6TJ,9,3,S00113036
G15 6TN,16,8,S00113036
G15 6TQ,25,9,S00113036
G15 6TW,15,7,S00113036
G41 5BY,25,11,S00114597
G4 9DT,84,39,S00112288
G4 9DN,113,52,S00112290
G21 2EY,26,16,S00113370
G13 3NX,78,43,S00112850
G12 0XW,0,0,S00112635
