DetailedCharacteristicSector2011Code,DetailedCharacteristicSector2011Name,PostcodeSector2011,CouncilArea2011Code,AbsorbedOther,OtherSectors
S28000072,AB51 4; AB51 6,AB51 4,S12000034,YES,AB51 6
S28000073,AB51 5,AB51 5,S12000034,,
S28000074,AB51 7; AB32 7,AB51 7,S12000034,YES,AB32 7
S28000075,AB51 8,AB51 8,S12000034,,
S28000076,AB52 6,AB52 6,S12000034,,
S28000077,AB53 4,AB53 4,S12000034,,
S28000078,AB53 5,AB53 5,S12000034,,
S28000079,AB53 6,AB53 6,S12000034,,
S28000080,AB53 8,AB53 8,S12000034,,
S28000081,AB54 4 (part),AB54 4,S12000034,,
S28000082,AB54 6,AB54 6,S12000034,,
S28000083,AB54 7 (part),AB54 7,S12000034,,
S28000084,AB54 8,AB54 8,S12000034,,
S28000085,AB55 4,AB55 4,S12000020,,
S28000086,AB55 5 (part),AB55 5,S12000020,,
S28000087,AB55 6; AB54 7 (part),AB55 6,S12000020,YES,AB54 7 (part)
S28000088,AB56 1,AB56 1,S12000020,,
S28000089,AB56 4 (part),AB56 4,S12000020,,
S28000090,AB56 5,AB56 5,S12000020,,
S28000091,DD1 1,DD1 1,S12000042,,
S28000092,DD1 2,DD1 2,S12000042,,
S28000093,DD1 3,DD1 3,S12000042,,
S28000094,DD1 4,DD1 4,S12000042,,
S28000095,DD1 5,DD1 5,S12000042,,
S28000096,DD10 0,DD10 0,S12000034,,
S28000097,DD10 8,DD10 8,S12000041,,
S28000098,DD10 9,DD10 9,S12000041,,
S28000099,DD11 1,DD11 1,S12000041,,
S28000100,DD11 2,DD11 2,S12000041,,
S28000101,DD11 3,DD11 3,S12000041,,
S28000102,DD11 4,DD11 4,S12000041,,
S28000103,DD11 5,DD11 5,S12000041,,
S28000104,DD2 1,DD2 1,S12000042,,
S28000105,DD2 2,DD2 2,S12000042,,
S28000106,DD2 3,DD2 3,S12000042,,
S28000107,DD2 4; DD2 5 (part),DD2 4,S12000042,YES,DD2 5 (part)
S28000108,DD2 5 (part),DD2 5,S12000041,,
S28000109,DD2 5 (part),DD2 5,S12000024,,
S28000110,DD3 0 (part),DD3 0,S12000041,,
S28000111,DD3 0 (part),DD3 0,S12000042,,
S28000112,DD3 6,DD3 6,S12000042,,
S28000113,DD3 7,DD3 7,S12000042,,
S28000114,DD3 8,DD3 8,S12000042,,
S28000115,DD3 9 (part),DD3 9,S12000042,,
S28000116,DD4 0 (part),DD4 0,S12000041,,
S28000117,DD4 0 (part),DD4 0,S12000042,,
S28000118,DD4 6,DD4 6,S12000042,,
S28000119,DD4 7,DD4 7,S12000042,,
S28000120,DD4 8,DD4 8,S12000042,,
S28000121,DD4 9,DD4 9,S12000042,,
S28000122,DD5 1,DD5 1,S12000042,,
S28000123,DD5 2,DD5 2,S12000042,,
S28000124,DD5 3 (part),DD5 3,S12000041,,
S28000125,DD5 3 (part),DD5 3,S12000042,,
S28000126,DD5 4 (part),DD5 4,S12000041,,
S28000127,DD6 8,DD6 8,S12000015,,
S28000128,DD6 9,DD6 9,S12000015,,
S28000129,DD7 6,DD7 6,S12000041,,
S28000130,DD7 7,DD7 7,S12000041,,
S28000131,DD8 1 (part),DD8 1,S12000041,,
S28000132,DD8 2,DD8 2,S12000041,,
S28000133,DD8 3,DD8 3,S12000041,,
S28000134,DD8 4,DD8 4,S12000041,,
S28000135,DD8 5; PH11 8 (part),DD8 5,S12000041,YES,PH11 8 (part)
S28000136,DD9 6,DD9 6,S12000041,,
S28000137,DD9 7 (part); AB30 1 (part),DD9 7,S12000041,YES,AB30 1 (part)
S28000138,DG1 1,DG1 1,S12000006,,
S28000139,DG1 2,DG1 2,S12000006,,
S28000140,DG1 3,DG1 3,S12000006,,
S28000141,DG1 4,DG1 4,S12000006,,
S28000142,DG10 9,DG10 9,S12000006,,
S28000143,DG11 1,DG11 1,S12000006,,
S28000144,DG11 2,DG11 2,S12000006,,
S28000145,DG11 3,DG11 3,S12000006,,
S28000146,DG12 5,DG12 5,S12000006,,
S28000147,DG12 6,DG12 6,S12000006,,
S28000148,DG13 0,DG13 0,S12000006,,
S28000149,DG14 0 (part),DG14 0,S12000006,,
S28000150,DG16 5,DG16 5,S12000006,,
S28000151,DG2 0,DG2 0,S12000006,,
S28000152,DG2 7,DG2 7,S12000006,,
S28000153,DG2 8,DG2 8,S12000006,,
S28000154,DG2 9,DG2 9,S12000006,,
S28000155,DG3 4,DG3 4,S12000006,,
S28000156,DG3 5; ML12 6 (part),DG3 5,S12000006,YES,ML12 6 (part)
S28000157,DG4 6,DG4 6,S12000006,,
S28000158,DG5 4,DG5 4,S12000006,,
S28000159,DG6 4,DG6 4,S12000006,,
S28000160,DG7 1,DG7 1,S12000006,,
S28000161,DG7 2,DG7 2,S12000006,,
S28000162,DG7 3 (part),DG7 3,S12000006,,
S28000163,DG8 0,DG8 0,S12000006,,
S28000164,DG8 6 (part),DG8 6,S12000006,,
S28000165,DG8 7,DG8 7,S12000006,,
S28000166,DG8 8,DG8 8,S12000006,,
S28000167,DG8 9,DG8 9,S12000006,,
S28000168,DG9 0,DG9 0,S12000006,,
S28000169,DG9 7,DG9 7,S12000006,,
S28000170,DG9 8,DG9 8,S12000006,,
S28000171,DG9 9,DG9 9,S12000006,,
S28000172,EH1 1,EH1 1,S12000036,,
S28000173,EH1 2,EH1 2,S12000036,,
S28000174,EH1 3,EH1 3,S12000036,,
S28000175,EH10 4,EH10 4,S12000036,,
S28000176,EH10 5,EH10 5,S12000036,,
S28000177,EH10 6,EH10 6,S12000036,,
S28000178,EH10 7 (part),EH10 7,S12000036,,
S28000179,EH11 1,EH11 1,S12000036,,
S28000180,EH11 2,EH11 2,S12000036,,
S28000181,EH11 3,EH11 3,S12000036,,
S28000182,EH11 4,EH11 4,S12000036,,
S28000183,EH12 5,EH12 5,S12000036,,
S28000184,EH12 6,EH12 6,S12000036,,
S28000185,EH12 7,EH12 7,S12000036,,
S28000186,EH12 8,EH12 8,S12000036,,
S28000187,EH12 9,EH12 9,S12000036,,
S28000188,EH13 0,EH13 0,S12000036,,
S28000189,EH13 9,EH13 9,S12000036,,
S28000190,EH14 1,EH14 1,S12000036,,
S28000191,EH14 2,EH14 2,S12000036,,
S28000192,EH14 3,EH14 3,S12000036,,
S28000193,EH14 5,EH14 5,S12000036,,
S28000194,EH14 7 (part); EH14 6,EH14 7,S12000036,YES,EH14 6
S28000195,EH15 1,EH15 1,S12000036,,
S28000196,EH15 2; EH21 8 (part),EH15 2,S12000036,YES,EH21 8 (part)
S28000197,EH15 3,EH15 3,S12000036,,
S28000198,EH16 4 (part),EH16 4,S12000036,,
S28000199,EH16 5,EH16 5,S12000036,,
S28000200,EH16 6,EH16 6,S12000036,,
S28000201,EH17 7,EH17 7,S12000036,,
S28000202,EH17 8 (part),EH17 8,S12000036,,
S28000203,EH18 1 (part); EH10 7 (part),EH18 1,S12000019,YES,EH10 7 (part)
S28000204,EH19 2,EH19 2,S12000019,,
S28000205,EH19 3,EH19 3,S12000019,,
S28000206,EH20 9,EH20 9,S12000019,,
S28000207,EH21 6,EH21 6,S12000010,,
S28000208,EH21 7,EH21 7,S12000010,,
S28000209,EH21 8 (part); EH22 2 (part),EH21 8,S12000010,YES,EH22 2 (part)
S28000210,EH22 1 (part),EH22 1,S12000019,,
S28000211,EH22 2 (part),EH22 2,S12000019,,
S28000212,EH22 3,EH22 3,S12000019,,
S28000213,EH22 4,EH22 4,S12000019,,
S28000214,EH22 5,EH22 5,S12000019,,
S28000215,EH23 4 (part),EH23 4,S12000019,,
S28000216,EH24 9,EH24 9,S12000019,,
S28000217,EH25 9,EH25 9,S12000019,,
S28000218,EH26 0,EH26 0,S12000019,,
S28000219,EH26 8 (part),EH26 8,S12000019,,
S28000220,EH26 9 (part),EH26 9,S12000019,,
S28000221,EH27 8 (part),EH27 8,S12000040,,
S28000222,EH28 8; EH14 4; EH27 8 (part); EH53 0 (part),EH28 8,S12000036,YES,EH14 4,EH27 8 (part),EH53 0 (part)
S28000223,EH29 9 (part),EH29 9,S12000036,,
S28000224,EH3 5,EH3 5,S12000036,,
S28000225,EH3 6,EH3 6,S12000036,,
S28000226,EH3 7; EH2 1; EH2 2; EH2 3; EH2 4,EH3 7,S12000036,YES,EH2 1,EH2 2,EH2 3,EH2 4
S28000227,EH3 8,EH3 8,S12000036,,
S28000228,EH3 9,EH3 9,S12000036,,
S28000229,EH30 9 (part),EH30 9,S12000036,,
S28000230,EH31 2,EH31 2,S12000010,,
S28000231,EH32 0,EH32 0,S12000010,,
S28000232,EH32 9,EH32 9,S12000010,,
S28000233,EH33 1,EH33 1,S12000010,,
S28000234,EH33 2,EH33 2,S12000010,,
S28000235,EH34 5,EH34 5,S12000010,,
S28000236,EH35 5; EH36 5,EH35 5,S12000010,YES,EH36 5
S28000237,EH37 5 (part),EH37 5,S12000019,,
S28000238,EH39 4,EH39 4,S12000010,,
S28000239,EH39 5,EH39 5,S12000010,,
S28000240,EH4 1,EH4 1,S12000036,,
S28000241,EH4 2,EH4 2,S12000036,,
S28000242,EH4 3,EH4 3,S12000036,,
S28000243,EH4 4,EH4 4,S12000036,,
S28000244,EH4 5,EH4 5,S12000036,,
S28000245,EH4 6,EH4 6,S12000036,,
S28000246,EH4 7,EH4 7,S12000036,,
S28000247,EH4 8; EH12 0,EH4 8,S12000036,YES,EH12 0
S28000248,EH40 3,EH40 3,S12000010,,
S28000249,EH41 3,EH41 3,S12000010,,
S28000250,EH41 4,EH41 4,S12000010,,
S28000251,EH42 1; TD13 5 (part),EH42 1,S12000010,YES,TD13 5 (part)
S28000252,EH44 6,EH44 6,S12000026,,
S28000253,EH45 8,EH45 8,S12000026,,
S28000254,EH45 9,EH45 9,S12000026,,
S28000255,EH46 7 (part); EH26 9 (part),EH46 7,S12000026,YES,EH26 9 (part)
S28000256,EH47 0,EH47 0,S12000040,,
S28000257,EH47 7,EH47 7,S12000040,,
S28000258,EH47 8,EH47 8,S12000040,,
S28000259,EH47 9 (part),EH47 9,S12000040,,
S28000260,EH48 1,EH48 1,S12000040,,
S28000261,EH48 2,EH48 2,S12000040,,
S28000262,EH48 3 (part); FK1 2 (part),EH48 3,S12000040,YES,FK1 2 (part)
S28000263,EH48 4,EH48 4,S12000040,,
S28000264,EH49 6 (part),EH49 6,S12000040,,
S28000265,EH49 7 (part); EH49 6 (part),EH49 7,S12000014,YES,EH49 6 (part)
S28000266,EH49 7 (part),EH49 7,S12000040,,
S28000267,EH5 1,EH5 1,S12000036,,
S28000268,EH5 2,EH5 2,S12000036,,
S28000269,EH5 3,EH5 3,S12000036,,
S28000270,EH51 0,EH51 0,S12000014,,
S28000271,EH51 9,EH51 9,S12000014,,
S28000272,EH52 5 (part),EH52 5,S12000040,,
S28000273,EH52 6 (part),EH52 6,S12000040,,
S28000274,EH53 0 (part),EH53 0,S12000040,,
S28000275,EH54 5,EH54 5,S12000040,,
S28000276,EH54 6,EH54 6,S12000040,,
S28000277,EH54 7,EH54 7,S12000040,,
S28000278,EH54 8,EH54 8,S12000040,,
S28000279,EH54 9,EH54 9,S12000040,,
S28000280,EH55 8 (part),EH55 8,S12000040,,
S28000281,EH6 4,EH6 4,S12000036,,
