DetailedCharacteristicSector2011Code,DetailedCharacteristicSector2011Name,PostcodeSector2011,CouncilArea2011Code,AbsorbedOther,OtherSectors
S28000511,G83 9 (part),G83 9,S12000039,,
S28000512,G84 0,G84 0,S12000035,,
S28000513,G84 7,G84 7,S12000035,,
S28000514,G84 8,G84 8,S12000035,,
S28000515,G84 9,G84 9,S12000035,,
S28000516,HS1 2,HS1 2,S12000013,,
S28000517,HS2 0,HS2 0,S12000013,,
S28000518,HS2 9,HS2 9,S12000013,,
S28000519,HS3 3; HS4 3; HS5 3,HS3 3,S12000013,YES,HS4 3,HS5 3
S28000520,HS6 5,HS6 5,S12000013,,
S28000521,HS7 5,HS7 5,S12000013,,
S28000522,HS8 5,HS8 5,S12000013,,
S28000523,HS9 5,HS9 5,S12000013,,
S28000524,IV1 3,IV1 3,S12000017,,
S28000525,IV10 8; IV11 8,IV10 8,S12000017,YES,IV11 8
S28000526,IV12 4,IV12 4,S12000017,,
S28000527,IV12 5,IV12 5,S12000017,,
S28000528,IV14 9,IV14 9,S12000017,,
S28000529,IV15 9,IV15 9,S12000017,,
S28000530,IV16 9,IV16 9,S12000017,,
S28000531,IV17 0,IV17 0,S12000017,,
S28000532,IV18 0,IV18 0,S12000017,,
S28000533,IV19 1,IV19 1,S12000017,,
S28000534,IV2 3,IV2 3,S12000017,,
S28000535,IV2 4,IV2 4,S12000017,,
S28000536,IV2 5,IV2 5,S12000017,,
S28000537,IV2 6,IV2 6,S12000017,,
S28000538,IV2 7,IV2 7,S12000017,,
S28000539,IV20 1,IV20 1,S12000017,,
S28000540,IV21 2,IV21 2,S12000017,,
S28000541,IV22 2; IV23 2,IV22 2,S12000017,YES,IV23 2
S28000542,IV24 3,IV24 3,S12000017,,
S28000543,IV25 3,IV25 3,S12000017,,
S28000544,IV26 2,IV26 2,S12000017,,
S28000545,IV27 4,IV27 4,S12000017,,
S28000546,IV3 5; IV1 1,IV3 5,S12000017,YES,IV1 1
S28000547,IV3 8,IV3 8,S12000017,,
S28000548,IV30 1,IV30 1,S12000020,,
S28000549,IV30 4,IV30 4,S12000020,,
S28000550,IV30 5,IV30 5,S12000020,,
S28000551,IV30 6,IV30 6,S12000020,,
S28000552,IV30 8,IV30 8,S12000020,,
S28000553,IV31 6,IV31 6,S12000020,,
S28000554,IV32 7,IV32 7,S12000020,,
S28000555,IV36 1,IV36 1,S12000020,,
S28000556,IV36 2 (part),IV36 2,S12000020,,
S28000557,IV36 3,IV36 3,S12000020,,
S28000558,IV4 7,IV4 7,S12000017,,
S28000559,IV40 8,IV40 8,S12000017,,
S28000560,IV43 8; IV41 8; IV42 8; IV44 8; IV45 8; IV46 8; PH42 4,IV43 8,S12000017,YES,IV41 8,IV42 8,IV44 8,IV45 8,IV46 8,PH42 4
S28000561,IV49 9,IV49 9,S12000017,,
S28000562,IV5 7,IV5 7,S12000017,,
S28000563,IV51 9,IV51 9,S12000017,,
S28000564,IV54 8; IV52 8; IV53 8,IV54 8,S12000017,YES,IV52 8,IV53 8
S28000565,IV55 8; IV47 8; IV48 8; IV56 8,IV55 8,S12000017,YES,IV47 8,IV48 8,IV56 8
S28000566,IV6 7,IV6 7,S12000017,,
S28000567,IV63 6,IV63 6,S12000017,,
S28000568,IV7 8,IV7 8,S12000017,,
S28000569,IV9 8; IV8 8,IV9 8,S12000017,YES,IV8 8
S28000570,KA1 1,KA1 1,S12000008,,
S28000571,KA1 2,KA1 2,S12000008,,
S28000572,KA1 3,KA1 3,S12000008,,
S28000573,KA1 4,KA1 4,S12000008,,
S28000574,KA1 5 (part),KA1 5,S12000008,,
S28000575,KA1 5 (part),KA1 5,S12000028,,
S28000576,KA10 6,KA10 6,S12000028,,
S28000577,KA10 7,KA10 7,S12000028,,
S28000578,KA11 1,KA11 1,S12000021,,
S28000579,KA11 2 (part); KA3 2 (part),KA11 2,S12000021,YES,KA3 2 (part)
S28000580,KA11 3,KA11 3,S12000021,,
S28000581,KA11 4,KA11 4,S12000021,,
S28000582,KA12 0,KA12 0,S12000021,,
S28000583,KA12 8; KA11 5,KA12 8,S12000021,YES,KA11 5
S28000584,KA12 9,KA12 9,S12000021,,
S28000585,KA13 6,KA13 6,S12000021,,
S28000586,KA13 7 (part),KA13 7,S12000021,,
S28000587,KA15 1,KA15 1,S12000021,,
S28000588,KA15 2; KA14 3,KA15 2,S12000021,YES,KA14 3
S28000589,KA16 9,KA16 9,S12000008,,
S28000590,KA17 0,KA17 0,S12000008,,
S28000591,KA18 1,KA18 1,S12000008,,
S28000592,KA18 2,KA18 2,S12000008,,
S28000593,KA18 3,KA18 3,S12000008,,
S28000594,KA18 4,KA18 4,S12000008,,
S28000595,KA19 7 (part),KA19 7,S12000028,,
S28000596,KA19 8,KA19 8,S12000028,,
S28000597,KA2 0 (part),KA2 0,S12000008,,
S28000598,KA2 9 (part),KA2 9,S12000028,,
S28000599,KA20 3,KA20 3,S12000021,,
S28000600,KA20 4,KA20 4,S12000021,,
S28000601,KA21 5,KA21 5,S12000021,,
S28000602,KA21 6,KA21 6,S12000021,,
S28000603,KA22 7,KA22 7,S12000021,,
S28000604,KA22 8,KA22 8,S12000021,,
S28000605,KA23 9,KA23 9,S12000021,,
S28000606,KA24 4,KA24 4,S12000021,,
S28000607,KA24 5,KA24 5,S12000021,,
S28000608,KA25 6,KA25 6,S12000021,,
S28000609,KA25 7,KA25 7,S12000021,,
S28000610,KA26 0 (part),KA26 0,S12000028,,
S28000611,KA26 9,KA26 9,S12000028,,
S28000612,KA27 8,KA27 8,S12000021,,
S28000613,KA28 0,KA28 0,S12000021,,
S28000614,KA29 0,KA29 0,S12000021,,
S28000615,KA3 1,KA3 1,S12000008,,
S28000616,KA3 2 (part),KA3 2,S12000008,,
S28000617,KA3 3 (part),KA3 3,S12000008,,
S28000618,KA3 4 (part),KA3 4,S12000008,,
S28000619,KA3 5,KA3 5,S12000008,,
S28000620,KA3 6,KA3 6,S12000008,,
S28000621,KA3 7,KA3 7,S12000008,,
S28000622,KA30 8,KA30 8,S12000021,,
S28000623,KA30 9,KA30 9,S12000021,,
S28000624,KA4 8,KA4 8,S12000008,,
S28000625,KA5 5 (part),KA5 5,S12000008,,
S28000626,KA5 5 (part),KA5 5,S12000028,,
S28000627,KA5 6,KA5 6,S12000008,,
S28000628,KA6 5,KA6 5,S12000028,,
S28000629,KA6 6 (part),KA6 6,S12000008,,
S28000630,KA6 6 (part),KA6 6,S12000028,,
S28000631,KA6 7 (part),KA6 7,S12000008,,
S28000632,KA7 1,KA7 1,S12000028,,
S28000633,KA7 2,KA7 2,S12000028,,
S28000634,KA7 3,KA7 3,S12000028,,
S28000635,KA7 4,KA7 4,S12000028,,
S28000636,KA8 0,KA8 0,S12000028,,
S28000637,KA8 8,KA8 8,S12000028,,
S28000638,KA8 9,KA8 9,S12000028,,
S28000639,KA9 1,KA9 1,S12000028,,
S28000640,KA9 2,KA9 2,S12000028,,
S28000641,KW1 4,KW1 4,S12000017,,
S28000642,KW1 5,KW1 5,S12000017,,
S28000643,KW10 6,KW10 6,S12000017,,
S28000644,KW12 6,KW12 6,S12000017,,
S28000645,KW13 6; IV28 3; KW11 6; KW5 6; KW6 6; KW7 6; KW8 6,KW13 6,S12000017,YES,IV28 3,KW11 6,KW5 6,KW6 6,KW7 6,KW8 6
S28000646,KW14 7,KW14 7,S12000017,,
S28000647,KW14 8,KW14 8,S12000017,,
S28000648,KW15 1,KW15 1,S12000023,,
S28000649,KW16 3,KW16 3,S12000023,,
S28000650,KW17 2,KW17 2,S12000023,,
S28000651,KW3 6; KW2 6,KW3 6,S12000017,YES,KW2 6
S28000652,KW9 6,KW9 6,S12000017,,
S28000653,KY1 1,KY1 1,S12000015,,
S28000654,KY1 2,KY1 2,S12000015,,
S28000655,KY1 3,KY1 3,S12000015,,
S28000656,KY1 4,KY1 4,S12000015,,
S28000657,KY10 2,KY10 2,S12000015,,
S28000658,KY10 3,KY10 3,S12000015,,
S28000659,KY11 1,KY11 1,S12000015,,
S28000660,KY11 2,KY11 2,S12000015,,
S28000661,KY11 3,KY11 3,S12000015,,
S28000662,KY11 4,KY11 4,S12000015,,
S28000663,KY11 8,KY11 8,S12000015,,
S28000664,KY11 9,KY11 9,S12000015,,
S28000665,KY12 0,KY12 0,S12000015,,
S28000666,KY12 7,KY12 7,S12000015,,
S28000667,KY12 8,KY12 8,S12000015,,
S28000668,KY12 9 (part),KY12 9,S12000015,,
S28000669,KY13 0 (part); FK14 7 (part); KY4 0 (part),KY13 0,S12000024,YES,FK14 7 (part),KY4 0 (part)
S28000670,KY13 8,KY13 8,S12000024,,
S28000671,KY13 9 (part); KY6 3 (part),KY13 9,S12000024,YES,KY6 3 (part)
S28000672,KY14 6 (part),KY14 6,S12000015,,
S28000673,KY14 7 (part),KY14 7,S12000015,,
S28000674,KY15 4,KY15 4,S12000015,,
S28000675,KY15 5,KY15 5,S12000015,,
S28000676,KY15 7,KY15 7,S12000015,,
S28000677,KY16 0,KY16 0,S12000015,,
S28000678,KY16 8,KY16 8,S12000015,,
S28000679,KY16 9,KY16 9,S12000015,,
S28000680,KY2 5,KY2 5,S12000015,,
S28000681,KY2 6,KY2 6,S12000015,,
S28000682,KY3 0; KY11 7,KY3 0,S12000015,YES,KY11 7
S28000683,KY3 9,KY3 9,S12000015,,
S28000684,KY4 0 (part),KY4 0,S12000015,,
S28000685,KY4 8,KY4 8,S12000015,,
S28000686,KY4 9,KY4 9,S12000015,,
S28000687,KY5 0 (part),KY5 0,S12000015,,
S28000688,KY5 8,KY5 8,S12000015,,
S28000689,KY5 9,KY5 9,S12000015,,
S28000690,KY6 1,KY6 1,S12000015,,
S28000691,KY6 2,KY6 2,S12000015,,
S28000692,KY6 3 (part),KY6 3,S12000015,,
S28000693,KY7 4,KY7 4,S12000015,,
S28000694,KY7 5,KY7 5,S12000015,,
S28000695,KY7 6,KY7 6,S12000015,,
S28000696,KY8 1,KY8 1,S12000015,,
S28000697,KY8 2,KY8 2,S12000015,,
S28000698,KY8 3,KY8 3,S12000015,,
S28000699,KY8 4,KY8 4,S12000015,,
S28000700,KY8 5,KY8 5,S12000015,,
S28000701,KY8 6,KY8 6,S12000015,,
S28000702,KY9 1,KY9 1,S12000015,,
S28000703,ML1 1,ML1 1,S12000044,,
S28000704,ML1 2,ML1 2,S12000044,,
S28000705,ML1 3,ML1 3,S12000044,,
S28000706,ML1 4,ML1 4,S12000044,,
S28000707,ML1 5,ML1 5,S12000044,,
S28000708,ML10 6,ML10 6,S12000029,,
S28000709,ML11 0,ML11 0,S12000029,,
S28000710,ML11 7,ML11 7,S12000029,,
S28000711,ML11 8 (part); EH55 8 (part),ML11 8,S12000029,YES,EH55 8 (part)
S28000712,ML11 9,ML11 9,S12000029,,
S28000713,ML12 6 (part),ML12 6,S12000026,,
S28000714,ML12 6 (part); EH46 7 (part),ML12 6,S12000029,YES,EH46 7 (part)
S28000715,ML2 0,ML2 0,S12000044,,
S28000716,ML2 7,ML2 7,S12000044,,
S28000717,ML2 8,ML2 8,S12000044,,
S28000718,ML2 9,ML2 9,S12000044,,
S28000719,ML3 0,ML3 0,S12000029,,
S28000720,ML3 6,ML3 6,S12000029,,
S28000721,ML3 7,ML3 7,S12000029,,
S28000722,ML3 8,ML3 8,S12000029,,
S28000723,ML3 9,ML3 9,S12000029,,
S28000724,ML4 1,ML4 1,S12000044,,
S28000725,ML4 2,ML4 2,S12000044,,
S28000726,ML4 3,ML4 3,S12000044,,
S28000727,ML5 1,ML5 1,S12000044,,
S28000728,ML5 2,ML5 2,S12000044,,
S28000729,ML5 3,ML5 3,S12000044,,
S28000730,ML5 4,ML5 4,S12000044,,
S28000731,ML5 5,ML5 5,S12000044,,
S28000732,ML6 0,ML6 0,S12000044,,
S28000733,ML6 6,ML6 6,S12000044,,
S28000734,ML6 7 (part),ML6 7,S12000044,,
S28000735,ML6 8,ML6 8,S12000044,,
S28000736,ML6 9,ML6 9,S12000044,,
S28000737,ML7 4; EH48 3 (part),ML7 4,S12000044,YES,EH48 3 (part)
S28000738,ML7 5 (part),ML7 5,S12000044,,
S28000739,ML7 5 (part),ML7 5,S12000040,,
S28000740,ML8 4,ML8 4,S12000029,,
S28000741,ML8 5 (part),ML8 5,S12000029,,
S28000742,ML9 1,ML9 1,S12000029,,
S28000743,ML9 2,ML9 2,S12000029,,
S28000744,ML9 3,ML9 3,S12000029,,
S28000745,PA1 1,PA1 1,S12000038,,
S28000746,PA1 2,PA1 2,S12000038,,
S28000747,PA1 3,PA1 3,S12000038,,
S28000748,PA10 2 (part),PA10 2,S12000038,,
S28000749,PA11 3 (part),PA11 3,S12000038,,
S28000750,PA12 4,PA12 4,S12000038,,
S28000751,PA13 4 (part); PA11 3 (part),PA13 4,S12000018,YES,PA11 3 (part)
S28000752,PA14 5,PA14 5,S12000018,,
S28000753,PA14 6 (part),PA14 6,S12000018,,
S28000754,PA14 6 (part),PA14 6,S12000038,,
S28000755,PA15 1,PA15 1,S12000018,,
S28000756,PA15 2,PA15 2,S12000018,,
S28000757,PA15 3,PA15 3,S12000018,,
S28000758,PA15 4,PA15 4,S12000018,,
S28000759,PA16 0,PA16 0,S12000018,,
S28000760,PA16 7,PA16 7,S12000018,,
S28000761,PA16 8,PA16 8,S12000018,,
S28000762,PA16 9,PA16 9,S12000018,,
S28000763,PA17 5,PA17 5,S12000021,,
S28000764,PA18 6,PA18 6,S12000018,,
S28000765,PA19 1,PA19 1,S12000018,,
S28000766,PA2 0,PA2 0,S12000038,,
S28000767,PA2 6,PA2 6,S12000038,,
S28000768,PA2 7,PA2 7,S12000038,,
S28000769,PA2 8 (part),PA2 8,S12000038,,
S28000770,PA2 9,PA2 9,S12000038,,
S28000771,PA20 0,PA20 0,S12000035,,
S28000772,PA20 9,PA20 9,S12000035,,
S28000773,PA22 3; PA21 2,PA22 3,S12000035,YES,PA21 2
S28000774,PA23 7,PA23 7,S12000035,,
S28000775,PA23 8,PA23 8,S12000035,,
S28000776,PA26 8; G83 7 (part); G83 8 (part),PA26 8,S12000035,YES,G83 7 (part),G83 8 (part)
S28000777,PA27 8; PA24 8; PA25 8,PA27 8,S12000035,YES,PA24 8,PA25 8
S28000778,PA28 6,PA28 6,S12000035,,
S28000779,PA29 6; PA41 7,PA29 6,S12000035,YES,PA41 7
S28000780,PA3 1,PA3 1,S12000038,,
S28000781,PA3 2,PA3 2,S12000038,,
S28000782,PA3 3,PA3 3,S12000038,,
S28000783,PA3 4,PA3 4,S12000038,,
S28000784,PA30 8,PA30 8,S12000035,,
S28000785,PA31 8,PA31 8,S12000035,,
S28000786,PA32 8,PA32 8,S12000035,,
S28000787,PA34 4,PA34 4,S12000035,,
S28000788,PA34 5,PA34 5,S12000035,,
S28000789,PA36 4; PA33 1; PA35 1,PA36 4,S12000035,YES,PA33 1,PA35 1
S28000790,PA37 1; PA38 4 (part),PA37 1,S12000035,YES,PA38 4 (part)
S28000791,PA4 0,PA4 0,S12000038,,
S28000792,PA4 8,PA4 8,S12000038,,
S28000793,PA4 9,PA4 9,S12000038,,
S28000794,PA42 7; PA43 7,PA42 7,S12000035,YES,PA43 7
S28000795,PA45 7; PA44 7; PA46 7; PA47 7; PA48 7; PA49 7; PA60 7; PA61 7,PA45 7,S12000035,YES,PA44 7,PA46 7,PA47 7,PA48 7,PA49 7,PA60 7,PA61 7
S28000796,PA5 0,PA5 0,S12000038,,
S28000797,PA5 8,PA5 8,S12000038,,
S28000798,PA5 9,PA5 9,S12000038,,
S28000799,PA6 7,PA6 7,S12000038,,
S28000800,PA7 5,PA7 5,S12000038,,
S28000801,PA72 6; PA64 6; PA65 6; PA66 6; PA67 6; PA70 6; PA76 6,PA72 6,S12000035,YES,PA64 6,PA65 6,PA66 6,PA67 6,PA70 6,PA76 6
S28000802,PA75 6; PA73 6; PA77 6; PA78 6,PA75 6,S12000035,YES,PA73 6,PA77 6,PA78 6
S28000803,PA8 6,PA8 6,S12000038,,
S28000804,PA8 7,PA8 7,S12000038,,
S28000805,PA9 1,PA9 1,S12000038,,
S28000806,PH1 1,PH1 1,S12000024,,
S28000807,PH1 2,PH1 2,S12000024,,
S28000808,PH1 3,PH1 3,S12000024,,
S28000809,PH1 4,PH1 4,S12000024,,
S28000810,PH1 5,PH1 5,S12000024,,
S28000811,PH10 6,PH10 6,S12000024,,
S28000812,PH11 8 (part); PH12 8 (part),PH11 8,S12000024,YES,PH12 8 (part)
S28000813,PH12 8 (part),PH12 8,S12000041,,
S28000814,PH13 9 (part),PH13 9,S12000024,,
S28000815,PH14 9 (part),PH14 9,S12000024,,
S28000816,PH15 2,PH15 2,S12000024,,
S28000817,PH16 5; PH17 2,PH16 5,S12000024,YES,PH17 2
S28000818,PH18 5; PH10 7,PH18 5,S12000024,YES,PH10 7
S28000819,PH19 1; PH31 4; PH20 1,PH19 1,S12000017,YES,PH31 4,PH20 1
S28000820,PH2 0,PH2 0,S12000024,,
S28000821,PH2 6,PH2 6,S12000024,,
S28000822,PH2 7,PH2 7,S12000024,,
S28000823,PH2 8,PH2 8,S12000024,,
S28000824,PH2 9; KY14 6 (part); KY14 7 (part),PH2 9,S12000024,YES,KY14 6 (part),KY14 7 (part)
S28000825,PH21 1,PH21 1,S12000017,,
S28000826,PH22 1,PH22 1,S12000017,,
S28000827,PH23 3; PH24 3; PH25 3,PH23 3,S12000017,YES,PH24 3,PH25 3
S28000828,PH26 3 (part),PH26 3,S12000017,,
S28000829,PH3 1,PH3 1,S12000024,,
S28000830,PH33 6,PH33 6,S12000017,,
S28000831,PH33 7; PA80 5,PH33 7,S12000017,YES,PA80 5
S28000832,PH34 4,PH34 4,S12000017,,
S28000833,PH35 4; IV13 7; IV63 7; PH32 4,PH35 4,S12000017,YES,IV13 7,IV63 7,PH32 4
S28000834,PH36 4; PH37 4; PH38 4; PH39 4,PH36 4,S12000017,YES,PH37 4,PH38 4,PH39 4
S28000835,PH4 1; FK15 0 (part),PH4 1,S12000024,YES,FK15 0 (part)
S28000836,PH41 4; PH40 4,PH41 4,S12000017,YES,PH40 4
S28000837,PH49 4; PA38 4 (part); PH50 4,PH49 4,S12000017,YES,PA38 4 (part),PH50 4
S28000838,PH5 2; FK15 9 (part),PH5 2,S12000024,YES,FK15 9 (part)
S28000839,PH6 2,PH6 2,S12000024,,
S28000840,PH7 3,PH7 3,S12000024,,
S28000841,PH7 4,PH7 4,S12000024,,
S28000842,PH9 0; PH8 0,PH9 0,S12000024,YES,PH8 0
S28000843,TD1 1,TD1 1,S12000026,,
S28000844,TD1 2,TD1 2,S12000026,,
S28000845,TD1 3,TD1 3,S12000026,,
S28000846,TD10 6,TD10 6,S12000026,,
S28000847,TD11 3 (part),TD11 3,S12000026,,
S28000848,TD12 4,TD12 4,S12000026,,
S28000849,TD14 5; TD13 5 (part),TD14 5,S12000026,YES,TD13 5 (part)
S28000850,TD15 1,TD15 1,S12000026,,
S28000851,TD2 6; EH38 5,TD2 6,S12000026,YES,EH38 5
S28000852,TD3 6,TD3 6,S12000026,,
S28000853,TD4 6,TD4 6,S12000026,,
S28000854,TD5 7,TD5 7,S12000026,,
S28000855,TD5 8,TD5 8,S12000026,,
S28000856,TD6 0,TD6 0,S12000026,,
S28000857,TD6 9,TD6 9,S12000026,,
S28000858,TD7 4,TD7 4,S12000026,,
S28000859,TD7 5 (part); EH43 6,TD7 5,S12000026,YES,EH43 6
S28000860,TD8 6,TD8 6,S12000026,,
S28000861,TD9 0,TD9 0,S12000026,,
S28000862,TD9 7,TD9 7,S12000026,,
S28000863,TD9 8,TD9 8,S12000026,,
S28000864,TD9 9,TD9 9,S12000026,,
S28000865,ZE1 0,ZE1 0,S12000027,,
S28000866,ZE3 9; ZE2 9,ZE3 9,S12000027,YES,ZE2 9
