Datazone2001Code,ScottishIndexofMultipleDeprivation2012Code
S01000397,5006
S01000398,5436
S01000399,3936
S01000400,3959
S01000401,5246
S01000402,5039
S01000403,5418
S01000404,6247
S01000405,5291
S01000406,3669
S01000407,3886
S01000408,6384
S01000409,5965
S01000410,5468
S01000411,5216
S01000412,5038
S01000413,5129
S01000414,5470
S01000415,4404
S01000416,5414
S01000417,5930
S01000418,4601
S01000419,4836
S01000420,5350
S01000421,5254
S01000422,5079
S01000423,5656
S01000424,4776
S01000425,4666
S01000426,5060
S01000427,5398
S01000428,5723
S01000429,6284
S01000430,5673
S01000431,2670
S01000432,6027
S01000433,4777
S01000434,3684
S01000435,5626
S01000436,6242
S01000437,5025
S01000438,6476
S01000439,4477
S01000440,4855
S01000441,3075
S01000442,5277
S01000443,4960
S01000444,4920
S01000445,4759
S01000446,4766
S01000447,4880
S01000448,4436
S01000449,3528
S01000450,5163
S01000451,4826
S01000452,4080
S01000453,4246
S01000454,4095
S01000455,3050
S01000456,4331
S01000457,5650
S01000458,4793
S01000459,3676
S01000460,1940
S01000461,2763
S01000462,3361
S01000463,3235
S01000464,4031
S01000465,4818
S01000466,4224
S01000467,3398
S01000468,4185
S01000469,6146
S01000470,5833
S01000471,4523
S01000472,4103
S01000473,2829
S01000474,3696
S01000475,3644
S01000476,3987
S01000477,4302
S01000478,2690
S01000479,2429
S01000480,5481
S01000481,3796
S01000482,1396
S01000483,2210
S01000484,3065
S01000485,5942
S01000486,0569
S01000487,3451
S01000488,2281
S01000489,0925
S01000490,5903
S01000491,0940
S01000492,1864
S01000493,4042
S01000494,1850
S01000495,4976
S01000496,5720
S01000497,4937
S01000498,5287
S01000499,4802
S01000500,2491
S01000501,4133
S01000502,3579
S01000503,3182
S01000504,4239
S01000505,4287
S01000506,4700
S01000507,3573
S01000508,3941
S01000509,4779
S01000510,3553
S01000511,4882
S01000512,5393
S01000513,2667
S01000514,3392
S01000515,4164
S01000516,4154
S01000517,3581
S01000518,3985
S01000519,4659
S01000520,3718
S01000521,2330
S01000522,3550
S01000523,2543
S01000524,3339
S01000525,3716
S01000526,3722
S01000527,4578
S01000528,3940
S01000529,2617
S01000530,3963
S01000531,2702
S01000532,2924
S01000533,3132
S01000534,2545
S01000535,3749
S01000536,3973
S01000537,3843
S01000538,3665
S01000539,2119
S01000540,3082
S01000541,3130
S01000542,3498
S01000543,4214
S01000544,3229
S01000545,2937
S01000546,2770
S01000547,3610
S01000548,3480
S01000549,5110
S01000550,6263
S01000551,3901
S01000552,5519
S01000553,5137
S01000554,2273
S01000555,3123
S01000556,2107
S01000557,3860
S01000558,4856
S01000559,2660
S01000560,1775
S01000561,3055
S01000562,1745
S01000563,0901
S01000564,0620
S01000565,2430
S01000566,2211
S01000567,1883
S01000568,3551
S01000569,5065
S01000570,4296
S01000571,3131
S01000572,5570
S01000573,6074
S01000574,6213
S01000575,5419
S01000576,5661
S01000577,4823
S01000578,5492
S01000579,5931
S01000580,5780
S01000581,5874
S01000582,3693
S01000583,4949
S01000584,2604
S01000585,3464
S01000586,4030
S01000587,3213
S01000588,5288
S01000589,5007
S01000590,5250
S01000591,5292
S01000592,4662
S01000593,4503
S01000594,4786
S01000595,5341
S01000596,5633
S01000597,5757
S01000598,5005
S01000599,4844
S01000600,4602
S01000601,4544
S01000602,3236
S01000603,4473
S01000604,5643
S01000605,4989
S01000606,1066
S01000607,4494
S01000608,1267
S01000609,1156
S01000610,1309
S01000611,1294
S01000612,1680
S01000613,3885
S01000614,3381
S01000615,1395
S01000616,4138
S01000617,4663
S01000618,4096
S01000619,4604
S01000620,0548
S01000621,2869
S01000622,1460
S01000623,2249
S01000624,2912
S01000625,0946
S01000626,0509
S01000627,3042
S01000628,1827
S01000629,3629
S01000630,2664
S01000631,1699
S01000632,3463
S01000633,5187
S01000634,2013
S01000635,2986
S01000636,3806
S01000637,3897
S01000638,4445
S01000639,4115
S01000640,3946
S01000641,4310
S01000642,4311
S01000643,4317
S01000644,4326
S01000645,3224
S01000646,5068
S01000647,3314
S01000648,1316
S01000649,4258
S01000650,3680
S01000651,2633
S01000652,4627
S01000653,2174
S01000654,2516
S01000655,1332
S01000656,2248
S01000657,1723
S01000658,1658
S01000659,4739
S01000660,5452
S01000661,3817
S01000662,4098
S01000663,4161
S01000664,3632
S01000665,4228
S01000666,4312
S01000667,4212
S01000668,1982
S01000669,2213
S01000670,4211
S01000671,4704
S01000672,4140
S01000673,5408
S01000674,3662
S01000675,5846
S01000676,3823
S01000677,2169
S01000678,4055
S01000679,1768
S01000680,1631
S01000681,1759
S01000682,2769
S01000683,4093
S01000684,1742
S01000685,4490
S01000686,2687
S01000687,1903
S01000688,4400
S01000689,3084
S01000690,5041
S01000691,2889
S01000692,1299
S01000693,1264
S01000694,2896
S01000695,3457
S01000696,2594
S01000697,4183
S01000698,3446
S01000699,2996
S01000700,3617
S01000701,5520
S01000702,6043
S01000703,3660
S01000704,4199
S01000705,5198
S01000706,5179
S01000707,4387
S01000708,4283
S01000709,4656
S01000710,3433
S01000711,3518
S01000712,4238
S01000713,3536
S01000714,3301
S01000715,2062
S01000716,0824
S01000717,0742
S01000718,1969
S01000719,4084
S01000720,3204
S01000721,2465
S01000722,2899
S01000723,4186
S01000724,3444
S01000725,3671
S01000726,3485
S01000727,2328
S01000728,3751
S01000729,2428
S01000730,2582
S01000731,0936
S01000732,0318
S01000733,1304
S01000734,4740
S01000735,3620
S01000736,3037
S01000737,1863
S01000738,4314
S01000739,4066
S01000740,2999
S01000741,3219
S01000742,2991
S01000743,3732
S01000744,1476
S01000745,2961
S01000746,1813
S01000747,1803
S01000748,0352
S01000749,0191
S01000750,3510
S01000751,4811
S01000752,0757
S01000753,2978
S01000754,2862
S01000755,3448
S01000756,3276
S01000757,3146
S01000758,4974
S01000759,1875
S01000760,4558
S01000761,4180
S01000762,5706
S01000763,4204
S01000764,5375
S01000765,5345
S01000766,4075
S01000767,0170
S01000768,2290
S01000769,1778
S01000770,0465
S01000771,4639
S01000772,4978
S01000773,4089
S01000774,2616
S01000775,5553
S01000776,6116
S01000777,2789
S01000778,5792
S01000779,3975
S01000780,1185
S01000781,5933
S01000782,5770
S01000783,4088
S01000784,5487
S01000785,2573
S01000786,4003
S01000787,3442
S01000788,4846
S01000789,3598
S01000790,5312
S01000791,3330
S01000792,4628
S01000793,3218
S01000794,2153
S01000795,4896
S01000796,3881
S01000797,2775
S01000798,2805
S01000799,5593
S01000800,2444
S01000801,4299
S01000802,3624
S01000803,4144
S01000804,3206
S01000805,3927
S01000806,3819
S01000807,4112
