LAU2011Level2Code,LAU2011Level2Name,EurostatLAU2011Level2Code,NRSoldLAU2011Level2Code,LAU2011Level1Code,LAU2011Level1Name,EurostatLAU2011Level1Code,NRSoldLAU2011Level1Code,NUTS2008Level3Code,NUTS2008Level3Name,NRSoldNUTS2008Level3Code,NUTS2008Level2Code,NUTS2008Level2Name,NRSoldNUTS2008Level2Code,NUTS2008Level1Code,NUTS2008Level1Name
S31000001,Kirriemuir West,UKM2101001,2020401.00,S30000001,Angus,UKM2101,20204.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000002,Kirriemuir East,UKM2101002,2020402.00,S30000001,Angus,UKM2101,20204.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000003,Brechin West,UKM2101003,2020403.00,S30000001,Angus,UKM2101,20204.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000004,Brechin North Esk,UKM2101004,2020404.00,S30000001,Angus,UKM2101,20204.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000005,Westfield and Dean,UKM2101005,2020405.00,S30000001,Angus,UKM2101,20204.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000006,Forfar West,UKM2101006,2020406.00,S30000001,Angus,UKM2101,20204.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000007,Forfar Central,UKM2101007,2020407.00,S30000001,Angus,UKM2101,20204.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000008,Forfar East,UKM2101008,2020408.00,S30000001,Angus,UKM2101,20204.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000009,Brechin South Esk,UKM2101009,2020409.00,S30000001,Angus,UKM2101,20204.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000010,Montrose Ferryden,UKM2101010,2020410.00,S30000001,Angus,UKM2101,20204.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000011,Montrose Central,UKM2101011,2020411.00,S30000001,Angus,UKM2101,20204.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000012,Montrose West,UKM2101012,2020412.00,S30000001,Angus,UKM2101,20204.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000013,Montrose Hillside,UKM2101013,2020413.00,S30000001,Angus,UKM2101,20204.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000014,Forfar South,UKM2101014,2020414.00,S30000001,Angus,UKM2101,20204.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000015,Letham and Friockheim,UKM2101015,2020415.00,S30000001,Angus,UKM2101,20204.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
