LAU2011Level2Code,LAU2011Level2Name,EurostatLAU2011Level2Code,NRSoldLAU2011Level2Code,LAU2011Level1Code,LAU2011Level1Name,EurostatLAU2011Level1Code,NRSoldLAU2011Level1Code,NUTS2008Level3Code,NUTS2008Level3Name,NRSoldNUTS2008Level3Code,NUTS2008Level2Code,NUTS2008Level2Name,NRSoldNUTS2008Level2Code,NUTS2008Level1Code,NUTS2008Level1Name
S31000016,Sidlaw West,UKM2101016,2020416.00,S30000001,Angus,UKM2101,20204.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000017,Sidlaw East and Ashludie,UKM2101017,2020417.00,S30000001,Angus,UKM2101,20204.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000018,Monifieth West,UKM2101018,2020418.00,S30000001,Angus,UKM2101,20204.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000019,Monifieth Central,UKM2101019,2020419.00,S30000001,Angus,UKM2101,20204.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000020,Carnoustie West,UKM2101020,2020420.00,S30000001,Angus,UKM2101,20204.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000021,Carnoustie Central,UKM2101021,2020421.00,S30000001,Angus,UKM2101,20204.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000022,Carnoustie East,UKM2101022,2020422.00,S30000001,Angus,UKM2101,20204.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000023,Arbirlot and Hospitalfield,UKM2101023,2020423.00,S30000001,Angus,UKM2101,20204.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000024,Keptie,UKM2101024,2020424.00,S30000001,Angus,UKM2101,20204.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000025,Arbroath North,UKM2101025,2020425.00,S30000001,Angus,UKM2101,20204.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000026,Brothock,UKM2101026,2020426.00,S30000001,Angus,UKM2101,20204.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000027,Hayshead and Lunan,UKM2101027,2020427.00,S30000001,Angus,UKM2101,20204.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000028,Harbour,UKM2101028,2020428.00,S30000001,Angus,UKM2101,20204.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000029,Cliffburn,UKM2101029,2020429.00,S30000001,Angus,UKM2101,20204.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000030,Ninewells,UKM2102001,2020501.00,S30000002,Dundee City,UKM2102,20205.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000031,Camperdown,UKM2102002,2020502.00,S30000002,Dundee City,UKM2102,20205.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000032,Balgay,UKM2102003,2020503.00,S30000002,Dundee City,UKM2102,20205.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000033,Lochee West,UKM2102004,2020504.00,S30000002,Dundee City,UKM2102,20205.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000034,Riverside,UKM2102005,2020505.00,S30000002,Dundee City,UKM2102,20205.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000035,Brackens,UKM2102006,2020506.00,S30000002,Dundee City,UKM2102,20205.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000036,Ardler,UKM2102007,2020507.00,S30000002,Dundee City,UKM2102,20205.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000037,Balgowan,UKM2102008,2020508.00,S30000002,Dundee City,UKM2102,20205.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000038,Claverhouse,UKM2102009,2020509.00,S30000002,Dundee City,UKM2102,20205.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000039,Whitfield,UKM2102010,2020510.00,S30000002,Dundee City,UKM2102,20205.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000040,Longhaugh,UKM2102011,2020511.00,S30000002,Dundee City,UKM2102,20205.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000041,Pitkerro,UKM2102012,2020512.00,S30000002,Dundee City,UKM2102,20205.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000042,Douglas,UKM2102013,2020513.00,S30000002,Dundee City,UKM2102,20205.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000043,Barnhill,UKM2102014,2020514.00,S30000002,Dundee City,UKM2102,20205.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000044,Balgillo,UKM2102015,2020515.00,S30000002,Dundee City,UKM2102,20205.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000045,Broughty Ferry,UKM2102016,2020516.00,S30000002,Dundee City,UKM2102,20205.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000046,West Ferry,UKM2102017,2020517.00,S30000002,Dundee City,UKM2102,20205.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000047,Craigiebank,UKM2102018,2020518.00,S30000002,Dundee City,UKM2102,20205.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000048,Strathmartine,UKM2102019,2020519.00,S30000002,Dundee City,UKM2102,20205.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000049,Lochee East,UKM2102020,2020520.00,S30000002,Dundee City,UKM2102,20205.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000050,Tay Bridges,UKM2102021,2020521.00,S30000002,Dundee City,UKM2102,20205.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000051,Logie,UKM2102022,2020522.00,S30000002,Dundee City,UKM2102,20205.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000052,Law,UKM2102023,2020523.00,S30000002,Dundee City,UKM2102,20205.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000053,East Port,UKM2102024,2020524.00,S30000002,Dundee City,UKM2102,20205.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000054,Baxter Park,UKM2102025,2020525.00,S30000002,Dundee City,UKM2102,20205.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000055,Hilltown,UKM2102026,2020526.00,S30000002,Dundee City,UKM2102,20205.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000056,Bowbridge,UKM2102027,2020527.00,S30000002,Dundee City,UKM2102,20205.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000057,Stobswell,UKM2102028,2020528.00,S30000002,Dundee City,UKM2102,20205.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000058,Fairmuir,UKM2102029,2020529.00,S30000002,Dundee City,UKM2102,20205.00,UKM21,Angus and Dundee City,202.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000059,Menstrie,UKM2201001,2030601.00,S30000003,Clackmannanshire,UKM2201,20306.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000060,Alva North,UKM2201002,2030602.00,S30000003,Clackmannanshire,UKM2201,20306.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000061,Alva South,UKM2201003,2030603.00,S30000003,Clackmannanshire,UKM2201,20306.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000062,Tillicoultry West,UKM2201004,2030604.00,S30000003,Clackmannanshire,UKM2201,20306.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000063,Tillicoultry East,UKM2201005,2030605.00,S30000003,Clackmannanshire,UKM2201,20306.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000064,Dollar and Muckhart,UKM2201006,2030606.00,S30000003,Clackmannanshire,UKM2201,20306.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000065,Devon and Clackmannan North,UKM2201007,2030607.00,S30000003,Clackmannanshire,UKM2201,20306.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000066,Clackmannan,UKM2201008,2030608.00,S30000003,Clackmannanshire,UKM2201,20306.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000067,Gartmorn,UKM2201009,2030609.00,S30000003,Clackmannanshire,UKM2201,20306.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000068,Alloa North,UKM2201010,2030610.00,S30000003,Clackmannanshire,UKM2201,20306.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000069,Alloa East,UKM2201011,2030611.00,S30000003,Clackmannanshire,UKM2201,20306.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000070,Alloa Mar,UKM2201012,2030612.00,S30000003,Clackmannanshire,UKM2201,20306.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000071,Alloa West,UKM2201013,2030613.00,S30000003,Clackmannanshire,UKM2201,20306.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000072,Alloa Claremont,UKM2201014,2030614.00,S30000003,Clackmannanshire,UKM2201,20306.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000073,Fairfield,UKM2201015,2030615.00,S30000003,Clackmannanshire,UKM2201,20306.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000074,Muirside,UKM2201016,2030616.00,S30000003,Clackmannanshire,UKM2201,20306.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000075,St Serf's,UKM2201017,2030617.00,S30000003,Clackmannanshire,UKM2201,20306.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000076,Delph and Cambus,UKM2201018,2030618.00,S30000003,Clackmannanshire,UKM2201,20306.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000077,Kincardine, Culross and Low Valleyfield,UKM2202001,2030701.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000078,Blairhall, High Valleyfield and Torryburn,UKM2202002,2030702.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000079,Oakley, Saline and Steelend,UKM2202003,2030703.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000080,Cairneyhill, Carnock and Milesmark,UKM2202004,2030704.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000081,Crossford and Dunfermline Central,UKM2202005,2030705.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000082,Baldridgeburn,UKM2202006,2030706.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000083,Wellwood and Headwell,UKM2202007,2030707.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000084,Townhill and Bellyeoman,UKM2202008,2030708.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000085,Garvock and Carnegie,UKM2202009,2030709.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000086,Halbeath, Hill of Beath and Kingseat,UKM2202010,2030710.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000087,Woodmill,UKM2202011,2030711.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000088,Linburn,UKM2202012,2030712.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000089,Brucefield and Nethertown,UKM2202013,2030713.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000090,Pitcorthie,UKM2202014,2030714.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000091,Limekilns and Pitreavie,UKM2202015,2030715.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000092,Rosyth West,UKM2202016,2030716.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000093,Rosyth East,UKM2202017,2030717.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000094,Inverkeithing West and Rosyth South,UKM2202018,2030718.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000095,Inverkeithing East and North Queensferry,UKM2202019,2030719.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000096,Dalgety Bay West and Hillend,UKM2202020,2030720.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000097,Dalgety Bay East,UKM2202021,2030721.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000098,Crossgates and Mossside,UKM2202022,2030722.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000099,Cowdenbeath Central,UKM2202023,2030723.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000100,Oakfield and Cowdenbeath North,UKM2202024,2030724.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000101,Kelty,UKM2202025,2030725.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000102,Ballingry and Lochore,UKM2202026,2030726.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000103,Crosshill and Lochgelly North,UKM2202027,2030727.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000104,Lumphinnans and Lochgelly South,UKM2202028,2030728.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000105,Aberdour and Burntisland West,UKM2202029,2030729.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000106,Auchtertool and Burntisland East,UKM2202030,2030730.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000107,Kinghorn and Invertiel,UKM2202031,2030731.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000108,Linktown and Kirkcaldy Central,UKM2202032,2030732.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000109,Raith and Longbraes,UKM2202033,2030733.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000110,Bennochy and Valley,UKM2202034,2030734.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000111,Templehall East,UKM2202035,2030735.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000112,Templehall West,UKM2202036,2030736.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000113,Cardenden, Cluny and Chapel,UKM2202037,2030737.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000114,Kinglassie, Bowhill and Dundonald,UKM2202038,2030738.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000115,Dunnikier,UKM2202039,2030739.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000116,Hayfield and Balsusney,UKM2202040,2030740.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000117,Smeaton and Overton,UKM2202041,2030741.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000118,Glebe Park, Pathhead and Sinclairtown,UKM2202042,2030742.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000119,Dysart and Gallatown,UKM2202043,2030743.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000120,Wemyss and Muiredge,UKM2202044,2030744.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000121,Buckhaven and Denbeath,UKM2202045,2030745.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000122,Methilhill,UKM2202046,2030746.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000123,Methil,UKM2202047,2030747.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000124,Leven East,UKM2202048,2030748.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000125,Leven West and Kirkland,UKM2202049,2030749.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000126,Kennoway,UKM2202050,2030750.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000127,Windygates, Star and Balgonie,UKM2202051,2030751.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000128,Markinch and Woodside East,UKM2202052,2030752.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000129,Auchmuty and Woodside West,UKM2202053,2030753.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000130,Pitteuchar and Finglassie North,UKM2202054,2030754.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000131,Thornton, Stenton and Finglassie South,UKM2202055,2030755.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000132,Caskieberran and Rimbleton,UKM2202056,2030756.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000133,Newcastle and Tanshall,UKM2202057,2030757.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000134,South Parks and Macedonia,UKM2202058,2030758.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000135,Leslie and Whinnyknowe,UKM2202059,2030759.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000136,Balgeddie and Collydean,UKM2202060,2030760.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000137,Cadham, Pitcoudie and Balfarg,UKM2202061,2030761.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000138,Falkland, Freuchie and Strathmiglo,UKM2202062,2030762.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000139,Auchtermuchty and Ladybank,UKM2202063,2030763.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
S31000140,Kettle, Springfield and Ceres,UKM2202064,2030764.00,S30000004,Fife,UKM2202,20307.00,UKM22,Clackmannanshire and Fife,203.00,UKM2,Eastern Scotland,2.00,UKM,Scotland
