LocalCharacteristicSector2011Code,LocalCharacteristicSector2011Name,PostcodeSector2011,CouncilArea2011Code,AbsorbedOther,OtherSectors
S29000502,G65 9 (part),G65 9,S12000045,NO,
S29000503,G65 9 (part),G65 9,S12000044,NO,
S29000504,G66 1,G66 1,S12000045,NO,
S29000505,G66 2,G66 2,S12000045,NO,
S29000506,G66 3,G66 3,S12000045,NO,
S29000507,G66 4,G66 4,S12000045,NO,
S29000508,G66 5 (part),G66 5,S12000045,NO,
S29000509,G66 5 (part),G66 5,S12000044,NO,
S29000510,G66 7,G66 7,S12000045,NO,
S29000511,G66 8 (part),G66 8,S12000045,NO,
S29000512,G67 1,G67 1,S12000044,NO,
S29000513,G67 2,G67 2,S12000044,NO,
S29000514,G67 3 (part),G67 3,S12000044,NO,
S29000515,G67 4,G67 4,S12000044,NO,
S29000516,G68 0 (part),G68 0,S12000044,NO,
S29000517,G68 9 (part),G68 9,S12000044,NO,
S29000518,G69 0,G69 0,S12000044,NO,
S29000519,G69 6,G69 6,S12000046,NO,
S29000520,G69 7 (part),G69 7,S12000046,NO,
S29000521,G69 7 (part),G69 7,S12000044,NO,
S29000522,G69 8 (part),G69 8,S12000046,NO,
S29000523,G69 8 (part),G69 8,S12000044,NO,
S29000524,G69 9 (part),G69 9,S12000044,NO,
S29000525,G71 5,G71 5,S12000044,NO,
S29000526,G71 6 (part),G71 6,S12000044,NO,
S29000527,G71 7 (part),G71 7,S12000046,NO,
S29000528,G71 7 (part),G71 7,S12000044,NO,
S29000529,G71 7 (part),G71 7,S12000029,NO,
S29000530,G71 8 (part),G71 8,S12000029,NO,
S29000531,G72 0,G72 0,S12000029,NO,
S29000532,G72 6,G72 6,S12000029,NO,
S29000533,G72 7,G72 7,S12000029,NO,
S29000534,G72 8,G72 8,S12000029,NO,
S29000535,G72 9,G72 9,S12000029,NO,
S29000536,G73 1 (part),G73 1,S12000029,NO,
S29000537,G73 2,G73 2,S12000029,NO,
S29000538,G73 3,G73 3,S12000029,NO,
S29000539,G73 4 (part),G73 4,S12000029,NO,
S29000540,G73 5,G73 5,S12000029,NO,
S29000541,G74 1,G74 1,S12000029,NO,
S29000542,G74 2,G74 2,S12000029,NO,
S29000543,G74 3,G74 3,S12000029,NO,
S29000544,G74 4,G74 4,S12000029,NO,
S29000545,G74 5,G74 5,S12000029,NO,
S29000546,G75 0,G75 0,S12000029,NO,
S29000547,G75 8,G75 8,S12000029,NO,
S29000548,G75 9,G75 9,S12000029,NO,
S29000549,G76 0,G76 0,S12000011,NO,
S29000550,G76 7,G76 7,S12000011,NO,
S29000551,G76 8 (part),G76 8,S12000011,NO,
S29000552,G76 9 (part),G76 9,S12000046,NO,
S29000553,G76 9 (part),G76 9,S12000029,NO,
S29000554,G77 5,G77 5,S12000011,NO,
S29000555,G77 6 (part),G77 6,S12000011,NO,
S29000556,G78 1 (part),G78 1,S12000011,NO,
S29000557,G78 2,G78 2,S12000011,NO,
S29000558,G78 3 (part),G78 3,S12000011,NO,
S29000559,G78 4 (part),G78 4,S12000011,NO,
S29000560,G81 1 (part),G81 1,S12000039,NO,
S29000561,G81 2,G81 2,S12000039,NO,
S29000562,G81 3,G81 3,S12000039,NO,
S29000563,G81 4,G81 4,S12000039,NO,
S29000564,G81 5 (part),G81 5,S12000039,NO,
S29000565,G81 6,G81 6,S12000039,NO,
S29000566,G82 1,G82 1,S12000039,NO,
S29000567,G82 2,G82 2,S12000039,NO,
S29000568,G82 3,G82 3,S12000039,NO,
S29000569,G82 4,G82 4,S12000039,NO,
S29000570,G82 5 (part),G82 5,S12000035,NO,
S29000571,G82 5 (part),G82 5,S12000039,NO,
S29000572,G83 0,G83 0,S12000039,NO,
S29000573,G83 7 (part),G83 7,S12000035,NO,
S29000574,G83 8 (part),G83 8,S12000035,NO,
S29000575,G83 8 (part),G83 8,S12000039,NO,
S29000576,G83 9 (part),G83 9,S12000039,NO,
S29000577,G84 0,G84 0,S12000035,NO,
S29000578,G84 7,G84 7,S12000035,NO,
S29000579,G84 8,G84 8,S12000035,NO,
S29000580,G84 9,G84 9,S12000035,NO,
S29000581,HS1 2,HS1 2,S12000013,NO,
S29000582,HS2 0,HS2 0,S12000013,NO,
S29000583,HS2 9,HS2 9,S12000013,NO,
S29000584,HS3 3,HS3 3,S12000013,NO,
S29000585,HS4 3,HS4 3,S12000013,NO,
S29000586,HS5 3,HS5 3,S12000013,NO,
S29000587,HS6 5,HS6 5,S12000013,NO,
S29000588,HS7 5,HS7 5,S12000013,NO,
S29000589,HS8 5,HS8 5,S12000013,NO,
S29000590,HS9 5,HS9 5,S12000013,NO,
S29000591,IV1 1,IV1 1,S12000017,NO,
S29000592,IV1 3,IV1 3,S12000017,NO,
S29000593,IV10 8,IV10 8,S12000017,NO,
S29000594,IV11 8,IV11 8,S12000017,NO,
S29000595,IV12 4,IV12 4,S12000017,NO,
S29000596,IV12 5,IV12 5,S12000017,NO,
S29000597,IV13 7,IV13 7,S12000017,NO,
S29000598,IV14 9,IV14 9,S12000017,NO,
S29000599,IV15 9,IV15 9,S12000017,NO,
S29000600,IV16 9,IV16 9,S12000017,NO,
S29000601,IV17 0,IV17 0,S12000017,NO,
S29000602,IV18 0,IV18 0,S12000017,NO,
S29000603,IV19 1,IV19 1,S12000017,NO,
S29000604,IV2 3,IV2 3,S12000017,NO,
S29000605,IV2 4,IV2 4,S12000017,NO,
S29000606,IV2 5,IV2 5,S12000017,NO,
S29000607,IV2 6,IV2 6,S12000017,NO,
S29000608,IV2 7,IV2 7,S12000017,NO,
S29000609,IV20 1,IV20 1,S12000017,NO,
S29000610,IV21 2,IV21 2,S12000017,NO,
S29000611,IV22 2,IV22 2,S12000017,NO,
S29000612,IV23 2,IV23 2,S12000017,NO,
S29000613,IV24 3,IV24 3,S12000017,NO,
S29000614,IV25 3,IV25 3,S12000017,NO,
S29000615,IV26 2,IV26 2,S12000017,NO,
S29000616,IV27 4,IV27 4,S12000017,NO,
S29000617,IV28 3,IV28 3,S12000017,NO,
S29000618,IV3 5,IV3 5,S12000017,NO,
S29000619,IV3 8,IV3 8,S12000017,NO,
S29000620,IV30 1,IV30 1,S12000020,NO,
S29000621,IV30 4,IV30 4,S12000020,NO,
S29000622,IV30 5,IV30 5,S12000020,NO,
S29000623,IV30 6,IV30 6,S12000020,NO,
S29000624,IV30 8,IV30 8,S12000020,NO,
S29000625,IV31 6,IV31 6,S12000020,NO,
S29000626,IV32 7,IV32 7,S12000020,NO,
S29000627,IV36 1,IV36 1,S12000020,NO,
S29000628,IV36 2 (part),IV36 2,S12000020,NO,
S29000629,IV36 3,IV36 3,S12000020,NO,
S29000630,IV4 7,IV4 7,S12000017,NO,
S29000631,IV40 8,IV40 8,S12000017,NO,
S29000632,IV41 8,IV41 8,S12000017,NO,
S29000633,IV42 8,IV42 8,S12000017,NO,
S29000634,IV43 8,IV43 8,S12000017,NO,
S29000635,IV44 8,IV44 8,S12000017,NO,
S29000636,IV45 8,IV45 8,S12000017,NO,
S29000637,IV46 8,IV46 8,S12000017,NO,
S29000638,IV47 8,IV47 8,S12000017,NO,
S29000639,IV48 8,IV48 8,S12000017,NO,
S29000640,IV49 9,IV49 9,S12000017,NO,
S29000641,IV5 7,IV5 7,S12000017,NO,
S29000642,IV51 9,IV51 9,S12000017,NO,
S29000643,IV52 8,IV52 8,S12000017,NO,
S29000644,IV53 8,IV53 8,S12000017,NO,
S29000645,IV54 8,IV54 8,S12000017,NO,
S29000646,IV55 8,IV55 8,S12000017,NO,
S29000647,IV56 8,IV56 8,S12000017,NO,
S29000648,IV6 7,IV6 7,S12000017,NO,
S29000649,IV63 6,IV63 6,S12000017,NO,
S29000650,IV63 7,IV63 7,S12000017,NO,
S29000651,IV7 8,IV7 8,S12000017,NO,
S29000652,IV8 8,IV8 8,S12000017,NO,
S29000653,IV9 8,IV9 8,S12000017,NO,
S29000654,KA1 1,KA1 1,S12000008,NO,
S29000655,KA1 2,KA1 2,S12000008,NO,
S29000656,KA1 3,KA1 3,S12000008,NO,
S29000657,KA1 4,KA1 4,S12000008,NO,
S29000658,KA1 5 (part),KA1 5,S12000008,NO,
S29000659,KA1 5 (part),KA1 5,S12000028,NO,
S29000660,KA10 6,KA10 6,S12000028,NO,
S29000661,KA10 7,KA10 7,S12000028,NO,
S29000662,KA11 1,KA11 1,S12000021,NO,
S29000663,KA11 2 (part),KA11 2,S12000021,NO,
S29000664,KA11 3,KA11 3,S12000021,NO,
S29000665,KA11 4,KA11 4,S12000021,NO,
S29000666,KA11 5,KA11 5,S12000021,NO,
S29000667,KA12 0,KA12 0,S12000021,NO,
S29000668,KA12 8,KA12 8,S12000021,NO,
S29000669,KA12 9,KA12 9,S12000021,NO,
S29000670,KA13 6,KA13 6,S12000021,NO,
S29000671,KA13 7 (part),KA13 7,S12000021,NO,
S29000672,KA14 3,KA14 3,S12000021,NO,
S29000673,KA15 1,KA15 1,S12000021,NO,
S29000674,KA15 2,KA15 2,S12000021,NO,
S29000675,KA16 9,KA16 9,S12000008,NO,
S29000676,KA17 0,KA17 0,S12000008,NO,
S29000677,KA18 1,KA18 1,S12000008,NO,
S29000678,KA18 2,KA18 2,S12000008,NO,
S29000679,KA18 3,KA18 3,S12000008,NO,
S29000680,KA18 4,KA18 4,S12000008,NO,
S29000681,KA19 7 (part),KA19 7,S12000028,NO,
S29000682,KA19 8,KA19 8,S12000028,NO,
S29000683,KA2 0 (part),KA2 0,S12000008,NO,
S29000684,KA2 9 (part),KA2 9,S12000028,NO,
S29000685,KA20 3,KA20 3,S12000021,NO,
S29000686,KA20 4,KA20 4,S12000021,NO,
S29000687,KA21 5,KA21 5,S12000021,NO,
S29000688,KA21 6,KA21 6,S12000021,NO,
S29000689,KA22 7,KA22 7,S12000021,NO,
S29000690,KA22 8,KA22 8,S12000021,NO,
S29000691,KA23 9,KA23 9,S12000021,NO,
S29000692,KA24 4,KA24 4,S12000021,NO,
S29000693,KA24 5,KA24 5,S12000021,NO,
S29000694,KA25 6,KA25 6,S12000021,NO,
S29000695,KA25 7,KA25 7,S12000021,NO,
S29000696,KA26 0 (part),KA26 0,S12000028,NO,
S29000697,KA26 9,KA26 9,S12000028,NO,
S29000698,KA27 8,KA27 8,S12000021,NO,
S29000699,KA28 0,KA28 0,S12000021,NO,
S29000700,KA29 0,KA29 0,S12000021,NO,
S29000701,KA3 1,KA3 1,S12000008,NO,
S29000702,KA3 2 (part),KA3 2,S12000008,NO,
S29000703,KA3 2 (part),KA3 2,S12000021,NO,
S29000704,KA3 3 (part),KA3 3,S12000008,NO,
S29000705,KA3 4 (part),KA3 4,S12000008,NO,
S29000706,KA3 5,KA3 5,S12000008,NO,
S29000707,KA3 6,KA3 6,S12000008,NO,
S29000708,KA3 7,KA3 7,S12000008,NO,
S29000709,KA30 8,KA30 8,S12000021,NO,
S29000710,KA30 9,KA30 9,S12000021,NO,
S29000711,KA4 8,KA4 8,S12000008,NO,
S29000712,KA5 5 (part),KA5 5,S12000008,NO,
S29000713,KA5 5 (part),KA5 5,S12000028,NO,
S29000714,KA5 6,KA5 6,S12000008,NO,
S29000715,KA6 5,KA6 5,S12000028,NO,
S29000716,KA6 6 (part),KA6 6,S12000008,NO,
S29000717,KA6 6 (part),KA6 6,S12000028,NO,
S29000718,KA6 7 (part),KA6 7,S12000008,NO,
S29000719,KA7 1,KA7 1,S12000028,NO,
S29000720,KA7 2,KA7 2,S12000028,NO,
S29000721,KA7 3,KA7 3,S12000028,NO,
S29000722,KA7 4,KA7 4,S12000028,NO,
S29000723,KA8 0,KA8 0,S12000028,NO,
S29000724,KA8 8,KA8 8,S12000028,NO,
S29000725,KA8 9,KA8 9,S12000028,NO,
S29000726,KA9 1,KA9 1,S12000028,NO,
S29000727,KA9 2,KA9 2,S12000028,NO,
S29000728,KW1 4,KW1 4,S12000017,NO,
S29000729,KW1 5,KW1 5,S12000017,NO,
S29000730,KW10 6,KW10 6,S12000017,NO,
S29000731,KW11 6,KW11 6,S12000017,NO,
S29000732,KW12 6,KW12 6,S12000017,NO,
S29000733,KW13 6,KW13 6,S12000017,NO,
S29000734,KW14 7,KW14 7,S12000017,NO,
S29000735,KW14 8,KW14 8,S12000017,NO,
S29000736,KW15 1,KW15 1,S12000023,NO,
S29000737,KW16 3,KW16 3,S12000023,NO,
S29000738,KW17 2,KW17 2,S12000023,NO,
S29000739,KW2 6,KW2 6,S12000017,NO,
S29000740,KW3 6,KW3 6,S12000017,NO,
S29000741,KW5 6,KW5 6,S12000017,NO,
S29000742,KW6 6,KW6 6,S12000017,NO,
S29000743,KW7 6,KW7 6,S12000017,NO,
S29000744,KW8 6,KW8 6,S12000017,NO,
S29000745,KW9 6,KW9 6,S12000017,NO,
S29000746,KY1 1,KY1 1,S12000015,NO,
S29000747,KY1 2,KY1 2,S12000015,NO,
S29000748,KY1 3,KY1 3,S12000015,NO,
S29000749,KY1 4,KY1 4,S12000015,NO,
S29000750,KY10 2,KY10 2,S12000015,NO,
S29000751,KY10 3,KY10 3,S12000015,NO,
S29000752,KY11 1,KY11 1,S12000015,NO,
S29000753,KY11 2,KY11 2,S12000015,NO,
S29000754,KY11 3,KY11 3,S12000015,NO,
S29000755,KY11 4,KY11 4,S12000015,NO,
S29000756,KY11 7,KY11 7,S12000015,NO,
S29000757,KY11 8,KY11 8,S12000015,NO,
S29000758,KY11 9,KY11 9,S12000015,NO,
S29000759,KY12 0,KY12 0,S12000015,NO,
S29000760,KY12 7,KY12 7,S12000015,NO,
S29000761,KY12 8,KY12 8,S12000015,NO,
S29000762,KY12 9 (part),KY12 9,S12000015,NO,
S29000763,KY13 0 (part),KY13 0,S12000005,NO,
S29000764,KY13 0 (part),KY13 0,S12000024,NO,
S29000765,KY13 8,KY13 8,S12000024,NO,
S29000766,KY13 9 (part),KY13 9,S12000024,NO,
S29000767,KY14 6 (part),KY14 6,S12000015,NO,
S29000768,KY14 6 (part),KY14 6,S12000024,NO,
S29000769,KY14 7 (part),KY14 7,S12000015,NO,
S29000770,KY14 7 (part),KY14 7,S12000024,NO,
S29000771,KY15 4,KY15 4,S12000015,NO,
S29000772,KY15 5,KY15 5,S12000015,NO,
S29000773,KY15 7,KY15 7,S12000015,NO,
S29000774,KY16 0,KY16 0,S12000015,NO,
S29000775,KY16 8,KY16 8,S12000015,NO,
S29000776,KY16 9,KY16 9,S12000015,NO,
S29000777,KY2 5,KY2 5,S12000015,NO,
S29000778,KY2 6,KY2 6,S12000015,NO,
S29000779,KY3 0,KY3 0,S12000015,NO,
S29000780,KY3 9,KY3 9,S12000015,NO,
S29000781,KY4 0 (part),KY4 0,S12000015,NO,
S29000782,KY4 0 (part),KY4 0,S12000024,NO,
S29000783,KY4 8,KY4 8,S12000015,NO,
S29000784,KY4 9,KY4 9,S12000015,NO,
S29000785,KY5 0 (part),KY5 0,S12000015,NO,
S29000786,KY5 8,KY5 8,S12000015,NO,
S29000787,KY5 9,KY5 9,S12000015,NO,
S29000788,KY6 1,KY6 1,S12000015,NO,
S29000789,KY6 2,KY6 2,S12000015,NO,
S29000790,KY6 3 (part),KY6 3,S12000015,NO,
S29000791,KY6 3 (part),KY6 3,S12000024,NO,
S29000792,KY7 4,KY7 4,S12000015,NO,
S29000793,KY7 5,KY7 5,S12000015,NO,
S29000794,KY7 6,KY7 6,S12000015,NO,
S29000795,KY8 1,KY8 1,S12000015,NO,
S29000796,KY8 2,KY8 2,S12000015,NO,
S29000797,KY8 3,KY8 3,S12000015,NO,
S29000798,KY8 4,KY8 4,S12000015,NO,
S29000799,KY8 5,KY8 5,S12000015,NO,
S29000800,KY8 6,KY8 6,S12000015,NO,
S29000801,KY9 1,KY9 1,S12000015,NO,
S29000802,ML1 1,ML1 1,S12000044,NO,
S29000803,ML1 2,ML1 2,S12000044,NO,
S29000804,ML1 3,ML1 3,S12000044,NO,
S29000805,ML1 4,ML1 4,S12000044,NO,
S29000806,ML1 5,ML1 5,S12000044,NO,
S29000807,ML10 6,ML10 6,S12000029,NO,
S29000808,ML11 0,ML11 0,S12000029,NO,
S29000809,ML11 7,ML11 7,S12000029,NO,
S29000810,ML11 8 (part),ML11 8,S12000029,NO,
S29000811,ML11 9,ML11 9,S12000029,NO,
S29000812,ML12 6 (part),ML12 6,S12000026,NO,
S29000813,ML12 6 (part),ML12 6,S12000006,NO,
S29000814,ML12 6 (part),ML12 6,S12000029,NO,
S29000815,ML2 0,ML2 0,S12000044,NO,
S29000816,ML2 7,ML2 7,S12000044,NO,
S29000817,ML2 8,ML2 8,S12000044,NO,
S29000818,ML2 9,ML2 9,S12000044,NO,
S29000819,ML3 0,ML3 0,S12000029,NO,
S29000820,ML3 6,ML3 6,S12000029,NO,
S29000821,ML3 7,ML3 7,S12000029,NO,
S29000822,ML3 8,ML3 8,S12000029,NO,
S29000823,ML3 9,ML3 9,S12000029,NO,
S29000824,ML4 1,ML4 1,S12000044,NO,
S29000825,ML4 2,ML4 2,S12000044,NO,
S29000826,ML4 3,ML4 3,S12000044,NO,
S29000827,ML5 1,ML5 1,S12000044,NO,
S29000828,ML5 2,ML5 2,S12000044,NO,
S29000829,ML5 3,ML5 3,S12000044,NO,
S29000830,ML5 4,ML5 4,S12000044,NO,
S29000831,ML5 5,ML5 5,S12000044,NO,
S29000832,ML6 0,ML6 0,S12000044,NO,
S29000833,ML6 6,ML6 6,S12000044,NO,
S29000834,ML6 7 (part),ML6 7,S12000044,NO,
S29000835,ML6 8,ML6 8,S12000044,NO,
S29000836,ML6 9,ML6 9,S12000044,NO,
S29000837,ML7 4,ML7 4,S12000044,NO,
S29000838,ML7 5 (part),ML7 5,S12000044,NO,
S29000839,ML7 5 (part),ML7 5,S12000040,NO,
S29000840,ML8 4,ML8 4,S12000029,NO,
S29000841,ML8 5 (part),ML8 5,S12000029,NO,
S29000842,ML9 1,ML9 1,S12000029,NO,
S29000843,ML9 2,ML9 2,S12000029,NO,
S29000844,ML9 3,ML9 3,S12000029,NO,
S29000845,PA1 1,PA1 1,S12000038,NO,
S29000846,PA1 2,PA1 2,S12000038,NO,
S29000847,PA1 3,PA1 3,S12000038,NO,
S29000848,PA10 2 (part),PA10 2,S12000038,NO,
S29000849,PA11 3 (part),PA11 3,S12000018,NO,
S29000850,PA11 3 (part),PA11 3,S12000038,NO,
S29000851,PA12 4,PA12 4,S12000038,NO,
S29000852,PA13 4 (part),PA13 4,S12000018,NO,
S29000853,PA14 5,PA14 5,S12000018,NO,
S29000854,PA14 6 (part),PA14 6,S12000018,NO,
S29000855,PA14 6 (part),PA14 6,S12000038,NO,
S29000856,PA15 1,PA15 1,S12000018,NO,
S29000857,PA15 2,PA15 2,S12000018,NO,
S29000858,PA15 3,PA15 3,S12000018,NO,
S29000859,PA15 4,PA15 4,S12000018,NO,
S29000860,PA16 0,PA16 0,S12000018,NO,
S29000861,PA16 7,PA16 7,S12000018,NO,
S29000862,PA16 8,PA16 8,S12000018,NO,
S29000863,PA16 9,PA16 9,S12000018,NO,
S29000864,PA17 5,PA17 5,S12000021,NO,
S29000865,PA18 6,PA18 6,S12000018,NO,
S29000866,PA19 1,PA19 1,S12000018,NO,
S29000867,PA2 0,PA2 0,S12000038,NO,
S29000868,PA2 6,PA2 6,S12000038,NO,
S29000869,PA2 7,PA2 7,S12000038,NO,
S29000870,PA2 8 (part),PA2 8,S12000038,NO,
S29000871,PA2 9,PA2 9,S12000038,NO,
S29000872,PA20 0,PA20 0,S12000035,NO,
S29000873,PA20 9,PA20 9,S12000035,NO,
S29000874,PA21 2,PA21 2,S12000035,NO,
S29000875,PA22 3,PA22 3,S12000035,NO,
S29000876,PA23 7,PA23 7,S12000035,NO,
S29000877,PA23 8,PA23 8,S12000035,NO,
S29000878,PA24 8,PA24 8,S12000035,NO,
S29000879,PA25 8,PA25 8,S12000035,NO,
S29000880,PA26 8,PA26 8,S12000035,NO,
S29000881,PA27 8,PA27 8,S12000035,NO,
S29000882,PA28 6,PA28 6,S12000035,NO,
S29000883,PA29 6,PA29 6,S12000035,NO,
S29000884,PA3 1,PA3 1,S12000038,NO,
S29000885,PA3 2,PA3 2,S12000038,NO,
S29000886,PA3 3,PA3 3,S12000038,NO,
S29000887,PA3 4,PA3 4,S12000038,NO,
S29000888,PA30 8,PA30 8,S12000035,NO,
S29000889,PA31 8,PA31 8,S12000035,NO,
S29000890,PA32 8,PA32 8,S12000035,NO,
S29000891,PA33 1,PA33 1,S12000035,NO,
S29000892,PA34 4,PA34 4,S12000035,NO,
S29000893,PA34 5,PA34 5,S12000035,NO,
S29000894,PA35 1,PA35 1,S12000035,NO,
S29000895,PA36 4,PA36 4,S12000035,NO,
S29000896,PA37 1,PA37 1,S12000035,NO,
S29000897,PA38 4 (part),PA38 4,S12000035,NO,
S29000898,PA38 4 (part),PA38 4,S12000017,NO,
S29000899,PA4 0,PA4 0,S12000038,NO,
S29000900,PA4 8,PA4 8,S12000038,NO,
S29000901,PA4 9,PA4 9,S12000038,NO,
S29000902,PA41 7,PA41 7,S12000035,NO,
S29000903,PA42 7,PA42 7,S12000035,NO,
S29000904,PA43 7,PA43 7,S12000035,NO,
S29000905,PA44 7,PA44 7,S12000035,NO,
S29000906,PA45 7,PA45 7,S12000035,NO,
S29000907,PA46 7,PA46 7,S12000035,NO,
S29000908,PA47 7,PA47 7,S12000035,NO,
S29000909,PA48 7,PA48 7,S12000035,NO,
S29000910,PA49 7,PA49 7,S12000035,NO,
S29000911,PA5 0,PA5 0,S12000038,NO,
S29000912,PA5 8,PA5 8,S12000038,NO,
S29000913,PA5 9,PA5 9,S12000038,NO,
S29000914,PA6 7,PA6 7,S12000038,NO,
S29000915,PA60 7,PA60 7,S12000035,NO,
S29000916,PA61 7,PA61 7,S12000035,NO,
S29000917,PA64 6,PA64 6,S12000035,NO,
S29000918,PA65 6,PA65 6,S12000035,NO,
S29000919,PA66 6,PA66 6,S12000035,NO,
S29000920,PA67 6,PA67 6,S12000035,NO,
S29000921,PA7 5,PA7 5,S12000038,NO,
S29000922,PA70 6,PA70 6,S12000035,NO,
S29000923,PA72 6,PA72 6,S12000035,NO,
S29000924,PA73 6,PA73 6,S12000035,NO,
S29000925,PA75 6,PA75 6,S12000035,NO,
S29000926,PA76 6,PA76 6,S12000035,NO,
S29000927,PA77 6,PA77 6,S12000035,NO,
S29000928,PA78 6,PA78 6,S12000035,NO,
S29000929,PA8 6,PA8 6,S12000038,NO,
S29000930,PA8 7,PA8 7,S12000038,NO,
S29000931,PA80 5,PA80 5,S12000017,NO,
S29000932,PA9 1,PA9 1,S12000038,NO,
S29000933,PH1 1,PH1 1,S12000024,NO,
S29000934,PH1 2,PH1 2,S12000024,NO,
S29000935,PH1 3,PH1 3,S12000024,NO,
S29000936,PH1 4,PH1 4,S12000024,NO,
S29000937,PH1 5,PH1 5,S12000024,NO,
S29000938,PH10 6,PH10 6,S12000024,NO,
S29000939,PH10 7,PH10 7,S12000024,NO,
S29000940,PH11 8 (part),PH11 8,S12000041,NO,
S29000941,PH11 8 (part),PH11 8,S12000024,NO,
S29000942,PH12 8 (part),PH12 8,S12000041,NO,
S29000943,PH12 8 (part),PH12 8,S12000024,NO,
S29000944,PH13 9 (part),PH13 9,S12000024,NO,
S29000945,PH14 9 (part),PH14 9,S12000024,NO,
S29000946,PH15 2,PH15 2,S12000024,NO,
S29000947,PH16 5,PH16 5,S12000024,NO,
S29000948,PH17 2,PH17 2,S12000024,NO,
S29000949,PH18 5,PH18 5,S12000024,NO,
S29000950,PH19 1,PH19 1,S12000017,NO,
S29000951,PH2 0,PH2 0,S12000024,NO,
S29000952,PH2 6,PH2 6,S12000024,NO,
S29000953,PH2 7,PH2 7,S12000024,NO,
S29000954,PH2 8,PH2 8,S12000024,NO,
S29000955,PH2 9,PH2 9,S12000024,NO,
S29000956,PH20 1,PH20 1,S12000017,NO,
S29000957,PH21 1,PH21 1,S12000017,NO,
S29000958,PH22 1,PH22 1,S12000017,NO,
S29000959,PH23 3,PH23 3,S12000017,NO,
S29000960,PH24 3,PH24 3,S12000017,NO,
S29000961,PH25 3,PH25 3,S12000017,NO,
S29000962,PH26 3 (part),PH26 3,S12000017,NO,
S29000963,PH3 1,PH3 1,S12000024,NO,
S29000964,PH31 4,PH31 4,S12000017,NO,
S29000965,PH32 4,PH32 4,S12000017,NO,
S29000966,PH33 6,PH33 6,S12000017,NO,
S29000967,PH33 7,PH33 7,S12000017,NO,
S29000968,PH34 4,PH34 4,S12000017,NO,
S29000969,PH35 4,PH35 4,S12000017,NO,
S29000970,PH36 4,PH36 4,S12000017,NO,
S29000971,PH37 4,PH37 4,S12000017,NO,
S29000972,PH38 4,PH38 4,S12000017,NO,
S29000973,PH39 4,PH39 4,S12000017,NO,
S29000974,PH4 1,PH4 1,S12000024,NO,
S29000975,PH40 4,PH40 4,S12000017,NO,
S29000976,PH41 4,PH41 4,S12000017,NO,
S29000977,PH42 4,PH42 4,S12000017,NO,
S29000978,PH49 4,PH49 4,S12000017,NO,
S29000979,PH5 2,PH5 2,S12000024,NO,
S29000980,PH50 4,PH50 4,S12000017,NO,
S29000981,PH6 2,PH6 2,S12000024,NO,
S29000982,PH7 3,PH7 3,S12000024,NO,
S29000983,PH7 4,PH7 4,S12000024,NO,
S29000984,PH8 0,PH8 0,S12000024,NO,
S29000985,PH9 0,PH9 0,S12000024,NO,
S29000986,TD1 1,TD1 1,S12000026,NO,
S29000987,TD1 2,TD1 2,S12000026,NO,
S29000988,TD1 3,TD1 3,S12000026,NO,
S29000989,TD10 6,TD10 6,S12000026,NO,
S29000990,TD11 3 (part),TD11 3,S12000026,NO,
S29000991,TD12 4,TD12 4,S12000026,NO,
S29000992,TD13 5 (part),TD13 5,S12000026,NO,
S29000993,TD13 5 (part),TD13 5,S12000010,NO,
S29000994,TD14 5,TD14 5,S12000026,NO,
S29000995,TD15 1,TD15 1,S12000026,NO,
S29000996,TD2 6,TD2 6,S12000026,NO,
S29000997,TD3 6,TD3 6,S12000026,NO,
S29000998,TD4 6,TD4 6,S12000026,NO,
S29000999,TD5 7,TD5 7,S12000026,NO,
S29001000,TD5 8,TD5 8,S12000026,NO,
S29001001,TD6 0,TD6 0,S12000026,NO,
S29001002,TD6 9,TD6 9,S12000026,NO,
S29001003,TD7 4,TD7 4,S12000026,NO,
S29001004,TD7 5 (part),TD7 5,S12000026,NO,
S29001005,TD8 6,TD8 6,S12000026,NO,
S29001006,TD9 0,TD9 0,S12000026,NO,
S29001007,TD9 7,TD9 7,S12000026,NO,
S29001008,TD9 8,TD9 8,S12000026,NO,
S29001009,TD9 9,TD9 9,S12000026,NO,
S29001010,ZE1 0,ZE1 0,S12000027,NO,
S29001011,ZE2 9,ZE2 9,S12000027,NO,
S29001012,ZE3 9,ZE3 9,S12000027,NO,
