LocalCharacteristicSector2011Code,LocalCharacteristicSector2011Name,PostcodeSector2011,CouncilArea2011Code,AbsorbedOther,OtherSectors
S29000100,AB56 4 (part),AB56 4,S12000020,NO,
S29000101,AB56 5,AB56 5,S12000020,NO,
S29000102,DD1 1,DD1 1,S12000042,NO,
S29000103,DD1 2,DD1 2,S12000042,NO,
S29000104,DD1 3,DD1 3,S12000042,NO,
S29000105,DD1 4,DD1 4,S12000042,NO,
S29000106,DD1 5,DD1 5,S12000042,NO,
S29000107,DD10 0,DD10 0,S12000034,NO,
S29000108,DD10 8,DD10 8,S12000041,NO,
S29000109,DD10 9,DD10 9,S12000041,NO,
S29000110,DD11 1,DD11 1,S12000041,NO,
S29000111,DD11 2,DD11 2,S12000041,NO,
S29000112,DD11 3,DD11 3,S12000041,NO,
S29000113,DD11 4,DD11 4,S12000041,NO,
S29000114,DD11 5,DD11 5,S12000041,NO,
S29000115,DD2 1,DD2 1,S12000042,NO,
S29000116,DD2 2,DD2 2,S12000042,NO,
S29000117,DD2 3,DD2 3,S12000042,NO,
S29000118,DD2 4,DD2 4,S12000042,NO,
S29000119,DD2 5 (part),DD2 5,S12000041,NO,
S29000120,DD2 5 (part),DD2 5,S12000042,NO,
S29000121,DD2 5 (part),DD2 5,S12000024,NO,
S29000122,DD3 0 (part),DD3 0,S12000041,NO,
S29000123,DD3 0 (part),DD3 0,S12000042,NO,
S29000124,DD3 6,DD3 6,S12000042,NO,
S29000125,DD3 7,DD3 7,S12000042,NO,
S29000126,DD3 8,DD3 8,S12000042,NO,
S29000127,DD3 9 (part),DD3 9,S12000042,NO,
S29000128,DD4 0 (part),DD4 0,S12000041,NO,
S29000129,DD4 0 (part),DD4 0,S12000042,NO,
S29000130,DD4 6,DD4 6,S12000042,NO,
S29000131,DD4 7,DD4 7,S12000042,NO,
S29000132,DD4 8,DD4 8,S12000042,NO,
S29000133,DD4 9,DD4 9,S12000042,NO,
S29000134,DD5 1,DD5 1,S12000042,NO,
S29000135,DD5 2,DD5 2,S12000042,NO,
S29000136,DD5 3 (part),DD5 3,S12000041,NO,
S29000137,DD5 3 (part),DD5 3,S12000042,NO,
S29000138,DD5 4 (part),DD5 4,S12000041,NO,
S29000139,DD6 8,DD6 8,S12000015,NO,
S29000140,DD6 9,DD6 9,S12000015,NO,
S29000141,DD7 6,DD7 6,S12000041,NO,
S29000142,DD7 7,DD7 7,S12000041,NO,
S29000143,DD8 1 (part),DD8 1,S12000041,NO,
S29000144,DD8 2,DD8 2,S12000041,NO,
S29000145,DD8 3,DD8 3,S12000041,NO,
S29000146,DD8 4,DD8 4,S12000041,NO,
S29000147,DD8 5,DD8 5,S12000041,NO,
S29000148,DD9 6,DD9 6,S12000041,NO,
S29000149,DD9 7 (part),DD9 7,S12000034,NO,
S29000150,DD9 7 (part),DD9 7,S12000041,NO,
S29000151,DG1 1,DG1 1,S12000006,NO,
S29000152,DG1 2,DG1 2,S12000006,NO,
S29000153,DG1 3,DG1 3,S12000006,NO,
S29000154,DG1 4,DG1 4,S12000006,NO,
S29000155,DG10 9,DG10 9,S12000006,NO,
S29000156,DG11 1,DG11 1,S12000006,NO,
S29000157,DG11 2,DG11 2,S12000006,NO,
S29000158,DG11 3,DG11 3,S12000006,NO,
S29000159,DG12 5,DG12 5,S12000006,NO,
S29000160,DG12 6,DG12 6,S12000006,NO,
S29000161,DG13 0,DG13 0,S12000006,NO,
S29000162,DG14 0 (part),DG14 0,S12000006,NO,
S29000163,DG16 5,DG16 5,S12000006,NO,
S29000164,DG2 0,DG2 0,S12000006,NO,
S29000165,DG2 7,DG2 7,S12000006,NO,
S29000166,DG2 8,DG2 8,S12000006,NO,
S29000167,DG2 9,DG2 9,S12000006,NO,
S29000168,DG3 4,DG3 4,S12000006,NO,
S29000169,DG3 5,DG3 5,S12000006,NO,
S29000170,DG4 6,DG4 6,S12000006,NO,
S29000171,DG5 4,DG5 4,S12000006,NO,
S29000172,DG6 4,DG6 4,S12000006,NO,
S29000173,DG7 1,DG7 1,S12000006,NO,
S29000174,DG7 2,DG7 2,S12000006,NO,
S29000175,DG7 3 (part),DG7 3,S12000006,NO,
S29000176,DG8 0,DG8 0,S12000006,NO,
S29000177,DG8 6 (part),DG8 6,S12000006,NO,
S29000178,DG8 7,DG8 7,S12000006,NO,
S29000179,DG8 8,DG8 8,S12000006,NO,
S29000180,DG8 9,DG8 9,S12000006,NO,
S29000181,DG9 0,DG9 0,S12000006,NO,
S29000182,DG9 7,DG9 7,S12000006,NO,
S29000183,DG9 8,DG9 8,S12000006,NO,
S29000184,DG9 9,DG9 9,S12000006,NO,
S29000185,EH1 1,EH1 1,S12000036,NO,
S29000186,EH1 2,EH1 2,S12000036,NO,
S29000187,EH1 3,EH1 3,S12000036,NO,
S29000188,EH10 4,EH10 4,S12000036,NO,
S29000189,EH10 5,EH10 5,S12000036,NO,
S29000190,EH10 6,EH10 6,S12000036,NO,
S29000191,EH10 7 (part),EH10 7,S12000036,NO,
S29000192,EH10 7 (part),EH10 7,S12000019,NO,
S29000193,EH11 1,EH11 1,S12000036,NO,
S29000194,EH11 2,EH11 2,S12000036,NO,
S29000195,EH11 3,EH11 3,S12000036,NO,
S29000196,EH11 4,EH11 4,S12000036,NO,
S29000197,EH12 0,EH12 0,S12000036,NO,
S29000198,EH12 5,EH12 5,S12000036,NO,
S29000199,EH12 6,EH12 6,S12000036,NO,
S29000200,EH12 7,EH12 7,S12000036,NO,
S29000201,EH12 8,EH12 8,S12000036,NO,
S29000202,EH12 9,EH12 9,S12000036,NO,
S29000203,EH13 0,EH13 0,S12000036,NO,
S29000204,EH13 9,EH13 9,S12000036,NO,
S29000205,EH14 1,EH14 1,S12000036,NO,
S29000206,EH14 2,EH14 2,S12000036,NO,
S29000207,EH14 3,EH14 3,S12000036,NO,
S29000208,EH14 4,EH14 4,S12000036,NO,
S29000209,EH14 5,EH14 5,S12000036,NO,
S29000210,EH14 6,EH14 6,S12000036,NO,
S29000211,EH14 7 (part),EH14 7,S12000036,NO,
S29000212,EH15 1,EH15 1,S12000036,NO,
S29000213,EH15 2,EH15 2,S12000036,NO,
S29000214,EH15 3,EH15 3,S12000036,NO,
S29000215,EH16 4 (part),EH16 4,S12000036,NO,
S29000216,EH16 5,EH16 5,S12000036,NO,
S29000217,EH16 6,EH16 6,S12000036,NO,
S29000218,EH17 7,EH17 7,S12000036,NO,
S29000219,EH17 8 (part),EH17 8,S12000036,NO,
S29000220,EH18 1 (part),EH18 1,S12000019,NO,
S29000221,EH19 2,EH19 2,S12000019,NO,
S29000222,EH19 3,EH19 3,S12000019,NO,
S29000223,EH2 1,EH2 1,S12000036,NO,
S29000224,EH2 2,EH2 2,S12000036,NO,
S29000225,EH2 3,EH2 3,S12000036,NO,
S29000226,EH2 4,EH2 4,S12000036,NO,
S29000227,EH20 9,EH20 9,S12000019,NO,
S29000228,EH21 6,EH21 6,S12000010,NO,
S29000229,EH21 7,EH21 7,S12000010,NO,
S29000230,EH21 8 (part),EH21 8,S12000010,NO,
S29000231,EH21 8 (part),EH21 8,S12000036,NO,
S29000232,EH22 1 (part),EH22 1,S12000019,NO,
S29000233,EH22 2 (part),EH22 2,S12000010,NO,
S29000234,EH22 2 (part),EH22 2,S12000019,NO,
S29000235,EH22 3,EH22 3,S12000019,NO,
S29000236,EH22 4,EH22 4,S12000019,NO,
S29000237,EH22 5,EH22 5,S12000019,NO,
S29000238,EH23 4 (part),EH23 4,S12000019,NO,
S29000239,EH24 9,EH24 9,S12000019,NO,
S29000240,EH25 9,EH25 9,S12000019,NO,
S29000241,EH26 0,EH26 0,S12000019,NO,
S29000242,EH26 8 (part),EH26 8,S12000019,NO,
S29000243,EH26 9 (part),EH26 9,S12000026,NO,
S29000244,EH26 9 (part),EH26 9,S12000019,NO,
S29000245,EH27 8 (part),EH27 8,S12000036,NO,
S29000246,EH27 8 (part),EH27 8,S12000040,NO,
S29000247,EH28 8,EH28 8,S12000036,NO,
S29000248,EH29 9 (part),EH29 9,S12000036,NO,
S29000249,EH3 5,EH3 5,S12000036,NO,
