Island2011Code,Island2011Name,InhabitedStatus,IslandCensusCode1991,Easting,Northing
140,West Burra,Y,1117,436833.00,1132735.00
141,Westray,Y,1023,346184.00,1046128.00
142,Whalsay,Y,1118,456263.00,1163896.00
143,Wyre,Y,1024,344311.00,1026050.00
144,Yell,Y,1119,449758.00,1190054.00
145,Berneray / Beàrnaraigh  (Vatersay),N,1206,56052.00,780023.00
146,Griomasaigh / Grimsay  (South),Y,1214,83217.00,847245.00
147,Shuna Island  (Lismore),Y,0837,191690.00,749098.00
148,Scalpay / Sgalpaigh  (Harris),Y,1223,122904.00,895755.00
149,Sunamul,N,1226,80285.00,856981.00
150,Inchcruin,Y,0202,238597.00,691217.00
151,Eilean Horrisdale,Y,0611,178660.00,874441.00
152,Inchlonaig,Y,0815,238141.00,693409.00
153,Ronay / Ronaigh,N,1221,89667.00,855826.00
154,Caisteal Chiosmuil ,Y,1202,66486.00,797941.00
155,Lamb Holm,Y,,347283.00,999035.00
156,Inner Holm,Y,,325932.00,1008760.00
157,Eilean Buidhe,Y,,179709.00,708103.00
158,Eilean Loain,Y,,175468.00,685598.00
159,Eilean dà Mhèinn,Y,,178169.00,694409.00
160,Eilean an Stalcaire / Castle Stalker,Y,,192081.00,747315.00
