Settlement2010Code,Settlement2010Name,NRSoldSettlement2010Code
S20000001,Campbeltown,001
S20000002,Whiting Bay,002
S20000003,Lamlash,003
S20000004,Brodick,004
S20000005,Springside,005
S20000006,Ardrossan,006
S20000007,Kilwinning,007
S20000008,Port Ellen,008
S20000009,West Kilbride,009
S20000010,Eaglesham,010
S20000011,Overtown,011
S20000012,Kilbirnie,012
S20000013,Fairlie,013
S20000014,Millport,014
S20000015,Uplawmoor,015
S20000016,Neilston,016
S20000017,Allanton,017
S20000018,Cleland,018
S20000019,Largs,019
S20000020,Lochwinnoch,020
S20000021,Shotts,021
S20000022,Bowmore,022
S20000023,Salsburgh,023
S20000024,Rothesay,024
S20000025,Bridge of Weir,025
S20000026,Brookfield,026
S20000027,Houston,027
S20000028,Wemyss Bay,028
S20000029,Port Bannatyne,029
S20000030,Erskine,030
S20000031,Quarrier's Village,031
S20000032,Glenmavis,032
S20000033,Gartcosh,033
S20000034,Glenboig,034
S20000035,Caldercruix,035
S20000036,Tarbert,036
S20000037,Innellan,037
S20000038,Kilmacolm,038
S20000039,Greengairs and Wattson,039
S20000040,Moodiesburn,040
S20000041,Bishopton,041
S20000042,Kirkintilloch,042
S20000043,Inverkip,043
S20000044,Langbank,044
S20000045,Greenock,045
S20000046,Torrance,046
S20000047,Milton of Campsie,047
S20000048,Twechar,048
S20000049,Dunoon,049
S20000050,Kilsyth,050
S20000051,Lennoxtown,051
S20000052,Cardross,052
S20000053,Kilcreggan,053
S20000054,Helensburgh,054
S20000055,Rosneath,055
S20000056,Ardrishaig,056
S20000057,Lochgilphead,058
S20000058,Garelochhead,059
S20000059,Inveraray,060
S20000060,Oban,061
S20000061,Dunbeg,062
S20000062,Tobermory,063
S20000063,Avonbridge,064
S20000064,Slamannan,065
S20000065,California,066
S20000066,Shieldhill,067
S20000067,Whitecross,068
S20000068,Strathblane,069
S20000069,Bo'ness,070
S20000070,Limekilns,071
S20000071,Killearn,072
S20000072,High Valleyfield,073
S20000073,Crossford (Fife),074
S20000074,Aberdour,075
S20000075,Burntisland,076
S20000076,Plean,077
S20000077,Kinghorn,078
S20000078,Kincardine,079
S20000079,Cairneyhill,080
S20000080,Airth,081
S20000081,Balfron,082
S20000082,Drymen,083
S20000083,Cowie,084
